Bottleneck,Spacer.Number,mean,lower,upper
2,Multiple,0.68,0.602756597,0.758031474
3,Multiple,0.65,0.560172342,0.72534905
4,Multiple,0.6,0.506925801,0.688469887
5,Multiple,0.63,0.539291255,0.713680614
6,Multiple,0.7,0.518392954,0.852039502
7,Multiple,0.64,0.46651682,0.785781242
8,Multiple,0.33,0.148259755,0.562837895
9,Multiple,0.87,0.661722683,0.978062323
2,Single,0.32,0.241968526,0.397243403
3,Single,0.35,0.27465095,0.439827658
4,Single,0.4,0.311530113,0.493074199
5,Single,0.37,0.286319386,0.460708745
6,Single,0.3,0.147960498,0.481607046
7,Single,0.36,0.214218758,0.53348318
8,Single,0.67,0.437162105,0.851740245
9,Single,0.12,0.021937677,0.338277317
