Bottleneck,Spacer.Number,mean,lower,upper
2,1,0.32,0.24,0.4
2,2,0.35,0.28,0.44
2,3,0.18,0.12,0.25
2,4,0.1,0.06,0.16
2,>=5,0.05,0.02,0.1
3,1,0.35,0.27,0.44
3,2,0.32,0.25,0.41
3,3,0.18,0.12,0.25
3,4,0.08,0.04,0.13
3,>=5,0.06,0.03,0.11
4,1,0.4,0.31,0.49
4,2,0.28,0.2,0.37
4,3,0.18,0.12,0.26
4,4,0.08,0.04,0.14
4,>=5,0.05,0.02,0.11
5,1,0.37,0.3,0.46
5,2,0.33,0.25,0.42
5,3,0.16,0.1,0.24
5,4,0.05,0.02,0.1
5,>=5,0.09,0.04,0.15
6,1,0.3,0.15,0.48
6,2,0.56,0.37,0.73
6,3,0.11,0.03,0.26
6,4,0.04,0,0.15
6,>=5,0,0,0
7,1,0.36,0.21,0.53
7,2,0.3,0.17,0.47
7,3,0.12,0.04,0.26
7,4,0.21,0.1,0.37
7,>=5,0,0,0
8,1,0.67,0.44,0.85
8,2,0.33,0.15,0.56
8,3,0,0,0
8,4,0,0,0
8,>=5,0,0,0
9,1,0.12,0.02,0.34
9,2,0.75,0.51,0.91
9,3,0.12,0.02,0.34
9,4,0,0,0
9,>=5,0,0,0
