bottleneck,timepoint,mean,lower,upper,CI,log10.mean,log10.lower,log10.upper
2,t0,13666.67,3286.86,56857.99,53571.13,4.1356944844,3.5169133166,4.7547991409
3,t0,9500,2284.118,39511.98,37227.862,3.9777693181,3.3589086313,4.5967397846
4,t0,9000,2163.901,37432.4,35268.499,3.9542907617,3.335438041,4.573259275
5,t0,10166.67,2444.407,42284.76,39840.353,4.0072214424,3.388351151,4.6261941406
6,t0,9833.333,2364.262,40898.36,38534.098,3.9927449098,3.3738792545,4.6117165121
7,t0,10500,2524.551,43671.13,41146.579,4.0212306585,3.4023561429,4.6402043741
8,t0,8666.667,2083.757,36046.01,33962.253,3.937902218,3.3190554407,4.556869247
9,t0,9666.667,2324.19,40205.17,37880.98,3.9853216828,3.3664584465,4.6042927046
2,t1,210000000000,50491021617,873422612327,822931590710,11.3222192947,10.7032141581,11.9412244313
3,t1,274666700000,66039130641,1142383000000,1076343869359,11.4388060097,10.8198013475,12.0578117317
4,t1,667000000000,160369101994,2774157000000,2613787898006,11.8241258339,11.2051206973,12.4431310358
5,t1,477000000000,114686749102,1983917000000,1869230250898,11.678518379,11.0595132425,12.2975234989
6,t1,135133300000,32490563674,562040380468,529549816794,11.1307623825,10.5117572459,11.7497675191
7,t1,75333330000,18112651398,313323000000,295210348602,10.8769871652,10.2579820287,11.4959922762
8,t1,207666700000,49930018280,863718055273,813788036993,11.3173668617,10.6983617251,11.9363719982
9,t1,63033330000,15155320132,262165408344,247010088212,10.7995702512,10.1805651146,11.4185753878
2,t2,299200000,71937684,1244419265,1172481581,8.4759615906,7.8569564578,9.0949667262
3,t2,2350000000,565018575,9774014947,9208996372,9.3710678625,8.7520627263,9.9900729989
4,t2,6033333000,1450614985,25093568904,23642953919,9.7805572962,9.1615521598,10.3995624328
5,t2,6538667000,1572114175,27195331487,25623217312,9.8154892203,9.1964840838,10.4344943569
6,t2,4233.333,1017.835,17607.09,16589.255,3.6267850092,3.0081038558,4.2457122494
7,t2,173333.3,41675.12,720920.1,679244.98,5.2388845109,4.6198872798,5.8578877367
8,t2,16000,3846.935,66546.48,62699.545,4.2041471252,3.5852277272,4.8231316144
9,t2,500666.7,120377,2082351,1961974,5.6995495743,5.0805471235,6.3185541444
2,t3,39333.33,9457.048,163593.4,154136.352,4.594771757,3.9758015137,5.2137684333
3,t3,52000,12502.54,216276.1,203773.56,4.7160116954,4.0970329878,5.3350105376
4,t3,7923333,1905034,32954372,31049338,6.8989079635,6.2799029591,7.517913053
5,t3,485333.3,116690.4,2018577,1901886.6,5.6860409853,5.0670388503,6.3050455357
6,t3,0.0001335144,3.210133E-05,0.0005553071,0.0005232058,5.79806966318264E-05,1.39412067163044E-05,0.0002410999
7,t3,0.0001220703,2.934978E-05,0.0005077093,0.0004783595,5.3011222212198E-05,1.27462604499802E-05,0.0002204394
8,t3,0.000207901,4.998635E-05,0.0008646925,0.0008147062,9.02808726654675E-05,2.17082534218654E-05,0.0003753689
9,t3,8.392334E-05,0.000020178,0.0003490502,0.0003288722,3.64459141548882E-05,8.76309695944529E-06,0.0001515641
2,t4,333.3334,80.14449,1386.385,1306.24051,2.5241797649,1.909259035,3.1421969947
3,t4,0.0001680851,4.041328E-05,0.000699092,0.0006586787,7.29922971332573E-05,1.75509098571E-05,0.0003035057
4,t4,3666.667,881.5893,15250.24,14368.6507,3.5643898977,2.945758658,4.1833051554
5,t4,0.0004806519,0.0001155648,0.001999106,0.0018835412,0.0002086943,5.01862551158221E-05,0.000867334
6,t4,0.0001144409,2.751542E-05,0.0004759775,0.0004484621,4.96982076744771E-05,1.19496306744564E-05,0.0002066652
7,t4,0.0001068115,2.568106E-05,0.0004442456,0.0004185645,4.6385167863239E-05,0.000011153,0.0001928906
8,t4,0.0001983643,4.769341E-05,0.0008250279,0.0007773345,0.00008614,2.07124908654132E-05,0.0003581573
9,t4,6.103516E-05,1.467489E-05,0.0002538547,0.0002391798,2.65064242863388E-05,6.37317698684461E-06,0.0001102337
2,t5,8.010864E-05,1.92608E-05,0.0003331843,0.0003139235,3.47893468597312E-05,8.36477860115063E-06,0.000144676
3,t5,0.0001552105,3.731779E-05,0.0006455446,0.0006082268,6.74018330826393E-05,1.62066078782824E-05,0.000280266
4,t5,4.577637E-05,1.100617E-05,0.000190391,0.0001793848,0.00001988,4.7798925938037E-06,8.26778903906802E-05
5,t5,0.0004730225,0.0001137304,0.001967374,0.0018536436,0.0002053825,4.93896766440718E-05,0.0008535803
6,t5,0.000125885,0.000030267,0.0005235753,0.0004933083,5.46677200036583E-05,1.31445747898651E-05,0.0002273264
7,t5,0.0001106262,2.659824E-05,0.0004601115,0.0004335133,4.80416909280236E-05,1.15513152387197E-05,0.0001997779
8,t5,0.0002040863,4.906917E-05,0.0008488266,0.0007997574,8.86245107053498E-05,2.13099469361072E-05,0.0003684843
9,t5,6.866455E-05,1.650925E-05,0.0002855865,0.0002690773,2.98196114040287E-05,7.16981699135748E-06,0.0001240109
