bottleneck,variable,mean,lower,upper
2,CRISPR,0.88,0.82,0.93
3,CRISPR,0.85,0.79,0.91
4,CRISPR,0.72,0.64,0.78
5,CRISPR,0.76,0.68,0.82
6,CRISPR,0.38,0.27,0.49
7,CRISPR,0.2,0.14,0.27
8,CRISPR,0.08,0.04,0.13
9,CRISPR,0.12,0.07,0.19
2,Sensitive,0.07,0.04,0.12
3,Sensitive,0.06,0.03,0.11
4,Sensitive,0.1,0.06,0.15
5,Sensitive,0.15,0.09,0.21
6,Sensitive,0.61,0.50,0.72
7,Sensitive,0.76,0.69,0.83
8,Sensitive,0.92,0.87,0.96
9,Sensitive,0.87,0.81,0.93
2,SM,0.04,0.02,0.08
3,SM,0.08,0.05,0.14
4,SM,0.19,0.13,0.26
5,SM,0.1,0.06,0.15
6,SM,0.01,0.00,0.06
7,SM,0.03,0.01,0.07
8,SM,0,0.00,0.00
9,SM,0,0.00,0.00
