bottleneck,treatment,timepoint,pfu,pfu.lower,pfu.upper,cfu,cfu.lower,cfu.upper
2,exp,t0,1.26E+04,2.25E+03,7.02E+04,1.52E+06,1.08E+05,2.15E+07
3,exp,t0,9.40E+03,1.68E+03,5.25E+04,2.00E+06,1.42E+05,2.83E+07
4,exp,t0,8.93E+03,1.60E+03,4.99E+04,2.03E+06,1.44E+05,2.86E+07
5,exp,t0,9.92E+03,1.78E+03,5.54E+04,1.60E+05,1.13E+04,2.26E+06
6,exp,t0,9.72E+03,1.74E+03,5.43E+04,1.31E+06,9.29E+04,1.85E+07
7,exp,t0,1.02E+04,1.83E+03,5.70E+04,1.52E+06,1.07E+05,2.14E+07
8,exp,t0,8.47E+03,1.52E+03,4.73E+04,1.17E+06,8.28E+04,1.65E+07
9,exp,t0,9.58E+03,1.72E+03,5.35E+04,7.74E+05,5.48E+04,1.09E+07
2,exp,t1,5.53E+10,9.90E+09,3.09E+11,5.97E+05,4.23E+04,8.43E+06
3,exp,t1,1.07E+11,1.91E+10,5.96E+11,7.91E+05,5.60E+04,1.12E+07
4,exp,t1,4.62E+11,8.27E+10,2.58E+12,1.06E+06,7.49E+04,1.49E+07
5,exp,t1,2.35E+11,4.21E+10,1.31E+12,4.59E+05,3.25E+04,6.49E+06
6,exp,t1,5.39E+10,9.66E+09,3.01E+11,4.46E+05,3.16E+04,6.30E+06
7,exp,t1,4.17E+10,7.47E+09,2.33E+11,9.39E+05,6.65E+04,1.33E+07
8,exp,t1,1.01E+11,1.81E+10,5.64E+11,1.00E+06,7.11E+04,1.42E+07
9,exp,t1,3.27E+10,5.86E+09,1.83E+11,8.31E+05,5.88E+04,1.17E+07
2,exp,t2,1.43E+08,2.56E+07,7.97E+08,5.81E+06,4.11E+05,8.20E+07
3,exp,t2,9.93E+08,1.78E+08,5.55E+09,3.50E+06,2.48E+05,4.94E+07
4,exp,t2,4.76E+09,8.52E+08,2.66E+10,4.98E+04,3.52E+03,7.03E+05
5,exp,t2,2.29E+09,4.10E+08,1.28E+10,4.88E+03,3.45E+02,6.89E+04
6,exp,t2,7.17E+01,1.28E+01,4.00E+02,3.91E+04,2.77E+03,5.53E+05
7,exp,t2,2.06E+02,3.69E+01,1.15E+03,8.38E+04,5.93E+03,1.18E+06
8,exp,t2,1.25E+02,2.24E+01,6.99E+02,2.62E+04,1.85E+03,3.70E+05
9,exp,t2,4.78E+01,8.57E+00,2.67E+02,4.75E+04,3.36E+03,6.70E+05
2,exp,t3,1.99E+04,3.56E+03,1.11E+05,4.69E+08,3.32E+07,6.62E+09
3,exp,t3,5.82E+03,1.04E+03,3.25E+04,1.68E+09,1.19E+08,2.37E+10
4,exp,t3,5.51E+05,9.87E+04,3.08E+06,2.59E+08,1.83E+07,3.65E+09
5,exp,t3,1.91E+05,3.41E+04,1.06E+06,3.41E+07,2.41E+06,4.82E+08
6,exp,t3,1.00E+00,1.79E-01,5.58E+00,2.28E+05,1.61E+04,3.22E+06
7,exp,t3,1.00E+00,1.79E-01,5.58E+00,1.14E+05,8.09E+03,1.61E+06
8,exp,t3,1.00E+00,1.79E-01,5.58E+00,2.46E+04,1.74E+03,3.47E+05
9,exp,t3,1.00E+00,1.79E-01,5.58E+00,1.03E+03,7.28E+01,1.45E+04
2,exp,t4,3.55E+00,6.36E-01,1.98E+01,6.94E+08,4.91E+07,9.79E+09
3,exp,t4,1.00E+00,1.79E-01,5.58E+00,5.77E+08,4.09E+07,8.15E+09
4,exp,t4,5.29E+00,9.48E-01,2.96E+01,3.32E+08,2.35E+07,4.69E+09
5,exp,t4,1.00E+00,1.79E-01,5.58E+00,6.14E+06,4.35E+05,8.67E+07
6,exp,t4,1.00E+00,1.79E-01,5.58E+00,1.59E+06,1.13E+05,2.24E+07
7,exp,t4,1.00E+00,1.79E-01,5.58E+00,1.79E+06,1.27E+05,2.53E+07
8,exp,t4,1.00E+00,1.79E-01,5.58E+00,6.59E+03,4.67E+02,9.31E+04
9,exp,t4,1.00E+00,1.79E-01,5.58E+00,2.45E+01,1.73E+00,3.46E+02
2,exp,t5,1.00E+00,1.79E-01,5.58E+00,8.64E+08,6.12E+07,1.22E+10
3,exp,t5,1.00E+00,1.79E-01,5.58E+00,8.51E+08,6.03E+07,1.20E+10
4,exp,t5,1.00E+00,1.79E-01,5.58E+00,3.38E+08,2.40E+07,4.78E+09
5,exp,t5,1.00E+00,1.79E-01,5.58E+00,5.35E+06,3.79E+05,7.56E+07
6,exp,t5,1.00E+00,1.79E-01,5.58E+00,1.48E+06,1.05E+05,2.09E+07
7,exp,t5,1.00E+00,1.79E-01,5.58E+00,1.87E+06,1.32E+05,2.64E+07
8,exp,t5,1.00E+00,1.79E-01,5.58E+00,5.93E+03,4.20E+02,8.38E+04
9,exp,t5,1.00E+00,1.79E-01,5.58E+00,1.00E+00,7.08E-02,1.41E+01
2,phageN,t0,NA,NA,NA,2.37E+06,6.32E+05,8.92E+06
3,phageN,t0,NA,NA,NA,3.12E+06,5.88E+04,1.66E+08
4,phageN,t0,NA,NA,NA,3.16E+06,5.96E+04,1.68E+08
5,phageN,t0,NA,NA,NA,2.50E+05,4.70E+03,1.33E+07
6,phageN,t0,NA,NA,NA,2.05E+06,3.86E+04,1.09E+08
7,phageN,t0,NA,NA,NA,2.36E+06,4.45E+04,1.25E+08
