bottleneck,variable,mean,lower,upper
2,number,3.2158730158,2.7013082741,3.7304377576
3,number,2.9902847395,2.3921602906,3.5884091884
4,number,3.1049150653,2.5160380643,3.6937920663
5,number,2.9257383653,2.4333965186,3.418080212
6,number,2.8344054582,2.2401477996,3.4286631167
7,number,3.0370289433,2.3516477762,3.7224101105
8,number,3.0370289433,2.3516477762,3.7224101105
9,number,NA,NA,NA
2,SD,1.135,0.896,1.374
3,SD,1.025,0.786,1.264
4,SD,1.017,0.778,1.257
5,SD,1.006,0.767,1.245
6,SD,0.859,0.62,1.099
7,SD,1.218,0.979,1.458
8,SD,0,0,0
9,SD,NA,NA,NA
