ID,bottleneck,timepoint,pfu
102.1,100,t0,4.60E+04
102.2,100,t0,4.60E+04
102.3,100,t0,5.00E+04
102.4,100,t0,3.40E+04
102.5,100,t0,3.20E+04
102.6,100,t0,4.60E+04
103.1,1000,t0,3.20E+04
103.2,1000,t0,4.00E+04
103.3,1000,t0,4.00E+04
103.4,1000,t0,4.00E+04
103.5,1000,t0,5.00E+04
103.6,1000,t0,4.40E+04
104.1,10000,t0,4.00E+04
104.2,10000,t0,5.20E+04
104.3,10000,t0,4.80E+04
104.4,10000,t0,4.00E+04
104.5,10000,t0,4.20E+04
104.6,10000,t0,5.60E+04
105.1,100000,t0,5.20E+04
105.2,100000,t0,5.60E+04
105.3,100000,t0,5.20E+04
105.4,100000,t0,4.60E+04
105.5,100000,t0,4.60E+04
105.6,100000,t0,5.00E+04
106.1,1000000,t0,3.20E+04
106.2,1000000,t0,5.20E+04
106.3,1000000,t0,4.20E+04
106.4,1000000,t0,4.20E+04
106.5,1000000,t0,4.60E+04
106.6,1000000,t0,4.60E+04
107.1,10000000,t0,5.20E+04
107.2,10000000,t0,4.20E+04
107.3,10000000,t0,5.20E+04
107.4,10000000,t0,4.20E+04
107.5,10000000,t0,3.40E+04
107.6,10000000,t0,3.00E+04
102.1,100,t1,2.40E+10
102.2,100,t1,1.80E+10
102.3,100,t1,5.00E+10
102.4,100,t1,2.80E+10
102.5,100,t1,3.40E+10
102.6,100,t1,2.40E+10
103.1,1000,t1,5.40E+10
103.2,1000,t1,1.80E+10
103.3,1000,t1,5.20E+10
103.4,1000,t1,1.60E+10
103.5,1000,t1,1.60E+10
103.6,1000,t1,3.00E+10
104.1,10000,t1,2.20E+10
104.2,10000,t1,7.20E+11
104.3,10000,t1,6.80E+11
104.4,10000,t1,9.00E+11
104.5,10000,t1,4.40E+11
104.6,10000,t1,2.20E+10
105.1,100000,t1,1.00E+12
105.2,100000,t1,1.00E+12
105.3,100000,t1,2.60E+09
105.4,100000,t1,1.40E+09
105.5,100000,t1,3.40E+09
105.6,100000,t1,4.00E+09
106.1,1000000,t1,2.60E+10
106.2,1000000,t1,2.00E+10
106.3,1000000,t1,2.20E+10
106.4,1000000,t1,1.40E+10
106.5,1000000,t1,2.80E+10
106.6,1000000,t1,6.00E+09
107.1,10000000,t1,5.40E+10
107.2,10000000,t1,2.60E+10
107.3,10000000,t1,1.60E+10
107.4,10000000,t1,8.00E+09
107.5,10000000,t1,3.00E+10
107.6,10000000,t1,1.80E+10
102.1,100,t2,8.00E+06
102.2,100,t2,1.00E+07
102.3,100,t2,1.60E+07
102.4,100,t2,1.40E+07
102.5,100,t2,2.00E+07
102.6,100,t2,4.40E+06
103.1,1000,t2,9.60E+06
103.2,1000,t2,1.00E+07
103.3,1000,t2,6.60E+06
103.4,1000,t2,1.00E+07
103.5,1000,t2,4.00E+06
103.6,1000,t2,1.20E+07
104.1,10000,t2,2.00E+07
104.2,10000,t2,5.20E+06
104.3,10000,t2,6.00E+06
104.4,10000,t2,1.20E+07
104.5,10000,t2,3.00E+07
104.6,10000,t2,2.00E+07
105.1,100000,t2,1.20E+07
105.2,100000,t2,5.00E+06
105.3,100000,t2,3.60E+06
105.4,100000,t2,8.00E+06
105.5,100000,t2,5.60E+06
105.6,100000,t2,6.60E+06
106.1,1000000,t2,4.80E+06
106.2,1000000,t2,4.60E+06
106.3,1000000,t2,5.00E+06
106.4,1000000,t2,1.00E+07
106.5,1000000,t2,4.20E+06
106.6,1000000,t2,6.80E+06
107.1,10000000,t2,6.00E+06
107.2,10000000,t2,3.00E+06
107.3,10000000,t2,4.40E+06
107.4,10000000,t2,8.00E+06
107.5,10000000,t2,2.40E+06
107.6,10000000,t2,6.40E+06
102.1,100,t3,1.40E+04
102.2,100,t3,1.40E+04
102.3,100,t3,8.00E+03
102.4,100,t3,2.00E+04
102.5,100,t3,4.00E+03
102.6,100,t3,1.00E+04
103.1,1000,t3,2.40E+04
103.2,1000,t3,1.80E+04
103.3,1000,t3,4.00E+04
103.4,1000,t3,2.40E+04
103.5,1000,t3,3.80E+04
103.6,1000,t3,2.20E+04
104.1,10000,t3,8.00E+03
104.2,10000,t3,2.00E+03
104.3,10000,t3,8.00E+03
104.4,10000,t3,8.00E+03
104.5,10000,t3,4.00E+03
104.6,10000,t3,2.40E+04
105.1,100000,t3,2.00E+03
105.2,100000,t3,2.00E+03
105.3,100000,t3,2.00E+03
105.4,100000,t3,2.00E+03
105.5,100000,t3,0.00E+00
105.6,100000,t3,0.00E+00
106.1,1000000,t3,4.00E+03
106.2,1000000,t3,0.00E+00
106.3,1000000,t3,0.00E+00
106.4,1000000,t3,0.00E+00
106.5,1000000,t3,0.00E+00
106.6,1000000,t3,1.00E+04
107.1,10000000,t3,1.20E+04
107.2,10000000,t3,0.00E+00
107.3,10000000,t3,2.00E+03
107.4,10000000,t3,6.00E+03
107.5,10000000,t3,4.00E+03
107.6,10000000,t3,8.00E+03
102.1,100,t4,0.00E+00
102.2,100,t4,0.00E+00
102.3,100,t4,0.00E+00
102.4,100,t4,0.00E+00
102.5,100,t4,0.00E+00
102.6,100,t4,0.00E+00
103.1,1000,t4,0.00E+00
103.2,1000,t4,0.00E+00
103.3,1000,t4,0.00E+00
103.4,1000,t4,0.00E+00
103.5,1000,t4,0.00E+00
103.6,1000,t4,0.00E+00
104.1,10000,t4,0.00E+00
104.2,10000,t4,0.00E+00
104.3,10000,t4,0.00E+00
104.4,10000,t4,0.00E+00
104.5,10000,t4,0.00E+00
104.6,10000,t4,0.00E+00
105.1,100000,t4,0.00E+00
105.2,100000,t4,0.00E+00
105.3,100000,t4,0.00E+00
105.4,100000,t4,0.00E+00
105.5,100000,t4,0.00E+00
105.6,100000,t4,0.00E+00
106.1,1000000,t4,0.00E+00
106.2,1000000,t4,0.00E+00
106.3,1000000,t4,0.00E+00
106.4,1000000,t4,0.00E+00
106.5,1000000,t4,0.00E+00
106.6,1000000,t4,0.00E+00
107.1,10000000,t4,0.00E+00
107.2,10000000,t4,0.00E+00
107.3,10000000,t4,0.00E+00
107.4,10000000,t4,0.00E+00
107.5,10000000,t4,0.00E+00
107.6,10000000,t4,0.00E+00
102.1,100,t5,0.00E+00
102.2,100,t5,0.00E+00
102.3,100,t5,0.00E+00
102.4,100,t5,0.00E+00
102.5,100,t5,0.00E+00
102.6,100,t5,0.00E+00
103.1,1000,t5,0.00E+00
103.2,1000,t5,0.00E+00
103.3,1000,t5,0.00E+00
103.4,1000,t5,0.00E+00
103.5,1000,t5,0.00E+00
103.6,1000,t5,0.00E+00
104.1,10000,t5,0.00E+00
104.2,10000,t5,0.00E+00
104.3,10000,t5,0.00E+00
104.4,10000,t5,0.00E+00
104.5,10000,t5,0.00E+00
104.6,10000,t5,0.00E+00
105.1,100000,t5,0.00E+00
105.2,100000,t5,0.00E+00
105.3,100000,t5,0.00E+00
105.4,100000,t5,0.00E+00
105.5,100000,t5,0.00E+00
105.6,100000,t5,0.00E+00
106.1,1000000,t5,0.00E+00
106.2,1000000,t5,0.00E+00
106.3,1000000,t5,0.00E+00
106.4,1000000,t5,0.00E+00
106.5,1000000,t5,0.00E+00
106.6,1000000,t5,0.00E+00
107.1,10000000,t5,0.00E+00
107.2,10000000,t5,0.00E+00
107.3,10000000,t5,0.00E+00
107.4,10000000,t5,0.00E+00
107.5,10000000,t5,0.00E+00
107.6,10000000,t5,0.00E+00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
