ID,bottleneck,timepoint,pfu,cfu
102.1,2,t0,4.60E+04,
102.2,2,t0,4.60E+04,
102.3,2,t0,5.00E+04,
102.4,2,t0,3.40E+04,
102.5,2,t0,3.20E+04,
102.6,2,t0,4.60E+04,
103.1,3,t0,3.20E+04,
103.2,3,t0,4.00E+04,
103.3,3,t0,4.00E+04,
103.4,3,t0,4.00E+04,
103.5,3,t0,5.00E+04,
103.6,3,t0,4.40E+04,
104.1,4,t0,4.00E+04,
104.2,4,t0,5.20E+04,
104.3,4,t0,4.80E+04,
104.4,4,t0,4.00E+04,
104.5,4,t0,4.20E+04,
104.6,4,t0,5.60E+04,
105.1,5,t0,5.20E+04,
105.2,5,t0,5.60E+04,
105.3,5,t0,5.20E+04,
105.4,5,t0,4.60E+04,
105.5,5,t0,4.60E+04,
105.6,5,t0,5.00E+04,
106.1,6,t0,3.20E+04,
106.2,6,t0,5.20E+04,
106.3,6,t0,4.20E+04,
106.4,6,t0,4.20E+04,
106.5,6,t0,4.60E+04,
106.6,6,t0,4.60E+04,
107.1,7,t0,5.20E+04,
107.2,7,t0,4.20E+04,
107.3,7,t0,5.20E+04,
107.4,7,t0,4.20E+04,
107.5,7,t0,3.40E+04,
107.6,7,t0,3.00E+04,
108.1,8,t0,1.00E+04,
108.2,8,t0,1.00E+04,
108.3,8,t0,1.00E+04,
108.4,8,t0,1.00E+04,
108.5,8,t0,1.00E+04,
108.6,8,t0,1.00E+04,
109.1,9,t0,1.00E+04,
109.2,9,t0,1.00E+04,
109.3,9,t0,1.00E+04,
109.4,9,t0,1.00E+04,
109.5,9,t0,1.00E+04,
109.6,9,t0,1.00E+04,
102.1,2,t1,2.40E+10,
102.2,2,t1,1.80E+10,
102.3,2,t1,5.00E+10,
102.4,2,t1,2.80E+10,
102.5,2,t1,3.40E+10,
102.6,2,t1,2.40E+10,
103.1,3,t1,5.40E+10,
103.2,3,t1,1.80E+10,
103.3,3,t1,5.20E+10,
103.4,3,t1,1.60E+10,
103.5,3,t1,1.60E+10,
103.6,3,t1,3.00E+10,
104.1,4,t1,2.20E+10,
104.2,4,t1,7.20E+11,
104.3,4,t1,6.80E+11,
104.4,4,t1,9.00E+11,
104.5,4,t1,4.40E+11,
104.6,4,t1,2.20E+10,
105.1,5,t1,1.00E+12,
105.2,5,t1,1.00E+12,
105.3,5,t1,2.60E+09,
105.4,5,t1,1.40E+09,
105.5,5,t1,3.40E+09,
105.6,5,t1,4.00E+09,
106.1,6,t1,2.60E+10,
106.2,6,t1,2.00E+10,
106.3,6,t1,2.20E+10,
106.4,6,t1,1.40E+10,
106.5,6,t1,2.80E+10,
106.6,6,t1,6.00E+09,
107.1,7,t1,5.40E+10,
107.2,7,t1,2.60E+10,
107.3,7,t1,1.60E+10,
107.4,7,t1,8.00E+09,
107.5,7,t1,3.00E+10,
107.6,7,t1,1.80E+10,
108.1,8,t1,1.00E+10,
108.2,8,t1,3.40E+10,
108.3,8,t1,2.60E+10,
108.4,8,t1,2.40E+10,
108.5,8,t1,1.80E+10,
108.6,8,t1,3.20E+10,
109.1,9,t1,1.20E+10,
109.2,9,t1,1.00E+10,
109.3,9,t1,1.20E+10,
109.4,9,t1,2.00E+10,
109.5,9,t1,1.00E+12,
109.6,9,t1,1.60E+10,
102.1,2,t2,8.00E+06,
102.2,2,t2,1.00E+07,
102.3,2,t2,1.60E+07,
102.4,2,t2,1.40E+07,
102.5,2,t2,2.00E+07,
102.6,2,t2,4.40E+06,
103.1,3,t2,9.60E+06,
103.2,3,t2,1.00E+07,
103.3,3,t2,6.60E+06,
103.4,3,t2,1.00E+07,
103.5,3,t2,4.00E+06,
103.6,3,t2,1.20E+07,
104.1,4,t2,2.00E+07,
104.2,4,t2,5.20E+06,
104.3,4,t2,6.00E+06,
104.4,4,t2,1.20E+07,
104.5,4,t2,3.00E+07,
104.6,4,t2,2.00E+07,
105.1,5,t2,1.20E+07,
105.2,5,t2,5.00E+06,
105.3,5,t2,3.60E+06,
105.4,5,t2,8.00E+06,
105.5,5,t2,5.60E+06,
105.6,5,t2,6.60E+06,
106.1,6,t2,4.80E+06,
106.2,6,t2,4.60E+06,
106.3,6,t2,5.00E+06,
106.4,6,t2,1.00E+07,
106.5,6,t2,4.20E+06,
106.6,6,t2,6.80E+06,
107.1,7,t2,6.00E+06,
107.2,7,t2,3.00E+06,
107.3,7,t2,4.40E+06,
107.4,7,t2,8.00E+06,
107.5,7,t2,2.40E+06,
107.6,7,t2,6.40E+06,
108.1,8,t2,4.60E+07,
108.2,8,t2,8.00E+06,
108.3,8,t2,3.00E+07,
108.4,8,t2,1.80E+07,
108.5,8,t2,2.00E+07,
108.6,8,t2,1.00E+07,
109.1,9,t2,4.20E+07,
109.2,9,t2,1.00E+08,
109.3,9,t2,3.20E+07,
109.4,9,t2,6.00E+07,
109.5,9,t2,1.60E+07,
109.6,9,t2,2.60E+07,
102.1,2,t3,1.40E+04,9.12E+08
102.2,2,t3,1.40E+04,2.77E+09
102.3,2,t3,8.00E+03,8.00E+08
102.4,2,t3,2.00E+04,7.84E+08
102.5,2,t3,4.00E+03,2.90E+09
102.6,2,t3,1.00E+04,1.34E+09
103.1,3,t3,2.40E+04,1.96E+09
103.2,3,t3,1.80E+04,6.88E+08
103.3,3,t3,4.00E+04,3.57E+09
103.4,3,t3,2.40E+04,2.94E+08
103.5,3,t3,3.80E+04,8.88E+08
103.6,3,t3,2.20E+04,8.52E+08
104.1,4,t3,8.00E+03,4.06E+08
104.2,4,t3,2.00E+03,4.52E+08
104.3,4,t3,8.00E+03,2.82E+08
104.4,4,t3,8.00E+03,2.73E+08
104.5,4,t3,4.00E+03,4.00E+08
104.6,4,t3,2.40E+04,5.46E+08
105.1,5,t3,2.00E+03,1.64E+08
105.2,5,t3,2.00E+03,2.91E+08
105.3,5,t3,2.00E+03,2.97E+08
105.4,5,t3,2.00E+03,4.48E+08
105.5,5,t3,0.00E+00,1.74E+08
105.6,5,t3,0.00E+00,1.98E+08
106.1,6,t3,4.00E+03,3.80E+08
106.2,6,t3,0.00E+00,3.50E+08
106.3,6,t3,0.00E+00,1.85E+08
106.4,6,t3,0.00E+00,1.22E+08
106.5,6,t3,0.00E+00,2.38E+08
106.6,6,t3,1.00E+04,2.65E+08
107.1,7,t3,1.20E+04,6.80E+07
107.2,7,t3,0.00E+00,1.21E+08
107.3,7,t3,2.00E+03,1.32E+08
107.4,7,t3,6.00E+03,7.40E+06
107.5,7,t3,4.00E+03,4.80E+07
107.6,7,t3,8.00E+03,2.74E+07
108.1,8,t3,0.00E+00,0.00E+00
108.2,8,t3,1.00E+04,0.00E+00
108.3,8,t3,2.00E+02,4.28E+06
108.4,8,t3,2.00E+02,9.40E+06
108.5,8,t3,0.00E+00,0.00E+00
108.6,8,t3,2.00E+03,0.00E+00
109.1,9,t3,0.00E+00,0.00E+00
109.2,9,t3,0.00E+00,0.00E+00
109.3,9,t3,0.00E+00,0.00E+00
109.4,9,t3,0.00E+00,0.00E+00
109.5,9,t3,0.00E+00,0.00E+00
109.6,9,t3,0.00E+00,0.00E+00
102.1,2,t4,0.00E+00,
102.2,2,t4,0.00E+00,
102.3,2,t4,0.00E+00,
102.4,2,t4,0.00E+00,
102.5,2,t4,0.00E+00,
102.6,2,t4,0.00E+00,
103.1,3,t4,0.00E+00,
103.2,3,t4,0.00E+00,
103.3,3,t4,0.00E+00,
103.4,3,t4,0.00E+00,
103.5,3,t4,0.00E+00,
103.6,3,t4,0.00E+00,
