bottleneck,variable,mean,lower,upper
2,CRISPR,0.85,0.79,0.91
3,CRISPR,0.81,0.74,0.86
4,CRISPR,0.75,0.68,0.82
5,CRISPR,0.78,0.71,0.84
6,CRISPR,0.74,0.66,0.8
7,CRISPR,0.6,0.52,0.68
8,CRISPR,1,1,1
9,CRISPR,NA,NA,NA
2,Sensitive,0.03,0.01,0.07
3,Sensitive,0.05,0.02,0.09
4,Sensitive,0.08,0.04,0.13
5,Sensitive,0.08,0.05,0.14
6,Sensitive,0.13,0.08,0.18
7,Sensitive,0.24,0.18,0.32
8,Sensitive,0,0,0
9,Sensitive,NA,NA,NA
2,SM,0.11,0.07,0.17
3,SM,0.15,0.09,0.2
4,SM,0.17,0.12,0.24
5,SM,0.14,0.09,0.2
6,SM,0.13,0.09,0.18
7,SM,0.16,0.11,0.2
8,SM,0,0,0
9,SM,NA,NA,NA
