bottleneck,repeat,Sensitive,CRISPR,SM,Total,prop.Sensitive,prop.CRISPR,prop.SM
2,1,0,20,4,24,0,0.833333333,0.166666667
2,2,0,24,0,24,0,1,0
2,3,1,18,5,24,0.041666667,0.75,0.208333333
2,4,1,20,3,24,0.041666667,0.833333333,0.125
2,5,3,20,1,24,0.125,0.833333333,0.041666667
2,6,0,21,3,24,0,0.875,0.125
3,1,1,17,6,24,0.041666667,0.708333333,0.25
3,2,1,19,4,24,0.041666667,0.791666667,0.166666667
3,3,0,22,2,24,0,0.916666667,0.083333333
3,4,4,19,1,24,0.166666667,0.791666667,0.041666667
3,5,1,20,3,24,0.041666667,0.833333333,0.125
3,6,0,19,5,24,0,0.791666667,0.208333333
4,1,2,19,3,24,0.083333333,0.791666667,0.125
4,2,3,18,3,24,0.125,0.75,0.125
4,3,1,17,6,24,0.041666667,0.708333333,0.25
4,4,2,18,4,24,0.083333333,0.75,0.166666667
4,5,3,18,3,24,0.125,0.75,0.125
4,6,0,18,6,24,0,0.75,0.25
5,1,1,18,5,24,0.041666667,0.75,0.208333333
5,2,0,24,0,24,0,1,0
5,3,1,21,2,24,0.041666667,0.875,0.083333333
5,4,4,14,6,24,0.166666667,0.583333333,0.25
5,5,2,18,4,24,0.083333333,0.75,0.166666667
5,6,4,17,3,24,0.166666667,0.708333333,0.125
6,1,4,20,0,24,0.166666667,0.833333333,0
6,2,2,20,2,24,0.083333333,0.833333333,0.083333333
6,3,3,18,3,24,0.125,0.75,0.125
6,4,4,15,5,24,0.166666667,0.625,0.208333333
6,5,5,15,4,24,0.208333333,0.625,0.166666667
6,6,1,18,5,24,0.041666667,0.75,0.208333333
7,1,8,11,5,24,0.333333333,0.458333333,0.208333333
7,2,4,15,5,24,0.166666667,0.625,0.208333333
7,3,6,16,2,24,0.25,0.666666667,0.083333333
7,4,5,16,3,24,0.208333333,0.666666667,0.125
7,5,3,13,8,24,0.125,0.541666667,0.333333333
7,6,9,15,0,24,0.375,0.625,0
8,1,NA,NA,NA,NA,NA,NA,NA
8,2,NA,NA,NA,NA,NA,NA,NA
8,3,0,24,0,24,0,1,0
8,4,0,24,0,24,0,1,0
8,5,NA,NA,NA,NA,NA,NA,NA
8,6,NA,NA,NA,NA,NA,NA,NA
9,1,NA,NA,NA,NA,NA,NA,NA
9,2,NA,NA,NA,NA,NA,NA,NA
9,3,NA,NA,NA,NA,NA,NA,NA
9,4,NA,NA,NA,NA,NA,NA,NA
9,5,NA,NA,NA,NA,NA,NA,NA
9,6,NA,NA,NA,NA,NA,NA,NA
