bottleneck,timepoint,log.pfu.mean,log.pfu.lower,log.pfu.upper,log.pfu.CI
100,t0,4.62,4.16,5.08,0.92
1000,t0,4.61,4.15,5.07,0.92
10000,t0,4.66,4.20,5.12,0.92
100000,t0,4.70,4.24,5.16,0.92
1000000,t0,4.63,4.17,5.09,0.92
10000000,t0,4.61,4.15,5.07,0.92
100000000,t0,4.00,3.54,4.46,0.92
1000000000,t0,4.00,3.54,4.46,0.92
100,t1,10.45,9.99,10.91,0.92
1000,t1,10.43,9.97,10.89,0.92
10000,t1,11.33,10.87,11.79,0.92
100000,t1,10.28,9.82,10.74,0.92
1000000,t1,10.24,9.78,10.70,0.92
10000000,t1,10.33,9.87,10.79,0.92
100000000,t1,10.35,9.89,10.81,0.92
1000000000,t1,10.44,9.98,10.90,0.92
100,t2,7.03,6.57,7.49,0.92
1000,t2,6.91,6.45,7.37,0.92
10000,t2,7.11,6.65,7.57,0.92
100000,t2,6.80,6.34,7.26,0.92
1000000,t2,6.75,6.29,7.21,0.92
10000000,t2,6.66,6.20,7.12,0.92
100000000,t2,7.27,6.81,7.73,0.92
1000000000,t2,7.59,7.13,8.05,0.92
100,t3,4.02,3.56,4.48,0.92
1000,t3,4.42,3.96,4.88,0.92
10000,t3,3.83,3.37,4.29,0.92
100000,t3,2.20,1.74,2.66,0.92
1000000,t3,1.27,0.81,1.73,0.92
10000000,t3,3.11,2.65,3.57,0.92
100000000,t3,1.98,1.52,2.44,0.92
1000000000,t3,0.00,0.00,0.46,0.46
100,t4,0.00,0.00,0.46,0.46
1000,t4,0.00,0.00,0.46,0.46
10000,t4,0.00,0.00,0.46,0.46
100000,t4,0.00,0.00,0.46,0.46
1000000,t4,0.00,0.00,0.46,0.46
10000000,t4,0.00,0.00,0.46,0.46
100000000,t4,0.00,0.00,0.46,0.46
1000000000,t4,0.00,0.00,0.46,0.46
100,t5,0.00,0.00,0.46,0.46
1000,t5,0.00,0.00,0.46,0.46
10000,t5,0.00,0.00,0.46,0.46
100000,t5,0.00,0.00,0.46,0.46
1000000,t5,0.00,0.00,0.46,0.46
10000000,t5,0.00,0.00,0.46,0.46
100000000,t5,0.00,0.00,0.46,0.46
1000000000,t5,0.00,0.00,0.46,0.46
