bottleneck,timepoint,log.pfu.mean,log.pfu.lower,log.pfu.upper,log.pfu.CI
2,t0,4.6206559581,4.3134625685,4.9278493477,0.6143867792
3,t0,4.6089695554,4.3042511411,4.9136879697,0.6094368286
4,t0,4.6621431817,4.3576088838,4.9666774797,0.6090685959
5,t0,4.7007887348,4.4004122531,5.0011652164,0.6007529633
6,t0,4.632204842,4.326427619,4.9379820649,0.6115544459
7,t0,4.6145283455,4.3051352664,4.9239214247,0.6187861583
8,t0,4.0000434273,3.7045727908,4.2955140637,0.5909412729
9,t0,4.0000434273,3.7045727908,4.2955140637,0.5909412729
2,t1,10.4488836569,10.1316821188,10.766085195,0.6344030763
3,t1,10.4315051381,10.1013966574,10.7616136188,0.6602169613
4,t1,11.3287303261,10.9355654101,11.7218952421,0.786329832
5,t1,11.3287303261,10.9355654101,11.7218952421,0.786329832
6,t1,10.238310557,9.9081050416,10.5685160724,0.6604110309
7,t1,10.3311618062,9.9967604199,10.6655631926,0.6688027727
8,t1,10.347847665,10.0246121336,10.6710831965,0.646471063
9,t1,10.4439187451,10.0508503412,10.836987149,0.7861368078
2,t2,7.032970159,6.7041904136,7.3617499043,0.6575594907
3,t2,6.9138427914,6.5935726302,7.2341129527,0.6405403224
4,t2,7.1087528894,6.770840436,7.4466653427,0.6758249067
5,t2,6.800879357,6.4799745706,7.1217841434,0.6418095727
6,t2,6.7497879598,6.4340841515,7.0654917682,0.6314076167
7,t2,6.6647011672,6.3406088101,6.9887935243,0.6481847141
8,t2,7.2665452903,6.9316215265,7.6014690541,0.6698475276
9,t2,7.5876073215,7.2533526846,7.9218619584,0.6685092738
2,t3,4.016454345,3.6868095851,4.3460991049,0.6592895198
3,t3,4.4233439334,4.1081743136,4.7385135533,0.6303392398
4,t3,3.8321796314,3.4875251372,4.1768341256,0.6893089884
5,t3,2.2008313924,1.7148961162,2.6867666686,0.9718705524
6,t3,1.2670353298,0.7580953274,1.7759753321,1.0178800047
7,t3,3.1106668288,2.6391166407,3.582217017,0.9431003763
8,t3,1.9846137718,1.5021830255,2.4670445181,0.9648614925
9,t3,0.00E+00,0,0.2954706364,0.2954706364
2,t4,0.00E+00,0,0.2954706364,0.2954706364
3,t4,3.65E-15,0,0.2954706364,0.2954706364
4,t4,9.93E-15,0,0.2954706364,0.2954706364
5,t4,4.00E-15,0,0.2954706364,0.2954706364
6,t4,5.60E-15,0,0.2954706364,0.2954706364
7,t4,-5.05E-15,0,0.2954706364,0.2954706364
8,t4,-2.28E-15,0,0.2954706364,0.2954706364
9,t4,-2.11E-15,0,0.2954706364,0.2954706364
2,t5,0.00E+00,0,0.2954706364,0.2954706364
3,t5,0.00E+00,0,0.2954706364,0.2954706364
4,t5,3.65E-15,0,0.2954706364,0.2954706364
5,t5,9.93E-15,0,0.2954706364,0.2954706364
6,t5,4.00E-15,0,0.2954706364,0.2954706364
7,t5,5.60E-15,0,0.2954706364,0.2954706364
8,t5,-5.05E-15,0,0.2954706364,0.2954706364
9,t5,-2.28E-15,0,0.2954706364,0.2954706364
,,-2.11E-15,0,0.2954706364,0.2954706364
