ID,bottleneck,timepoint,pfu,cfu
102.1,100,t3,1.40E+04,9.12E+08
102.2,100,t3,1.40E+04,2.77E+09
102.3,100,t3,8.00E+03,8.00E+08
102.4,100,t3,2.00E+04,7.84E+08
102.5,100,t3,4.00E+03,2.90E+09
102.6,100,t3,1.00E+04,1.34E+09
103.1,1000,t3,2.40E+04,1.96E+09
103.2,1000,t3,1.80E+04,6.88E+08
103.3,1000,t3,4.00E+04,3.57E+09
103.4,1000,t3,2.40E+04,2.94E+08
103.5,1000,t3,3.80E+04,8.88E+08
103.6,1000,t3,2.20E+04,8.52E+08
104.1,10000,t3,8.00E+03,4.06E+08
104.2,10000,t3,2.00E+03,4.52E+08
104.3,10000,t3,8.00E+03,2.82E+08
104.4,10000,t3,8.00E+03,2.73E+08
104.5,10000,t3,4.00E+03,4.00E+08
104.6,10000,t3,2.40E+04,5.46E+08
105.1,100000,t3,2.00E+03,1.64E+08
105.2,100000,t3,2.00E+03,2.91E+08
105.3,100000,t3,2.00E+03,2.97E+08
105.4,100000,t3,2.00E+03,4.48E+08
105.5,100000,t3,0.00E+00,1.74E+08
105.6,100000,t3,0.00E+00,1.98E+08
106.1,1000000,t3,4.00E+03,3.80E+08
106.2,1000000,t3,0.00E+00,3.50E+08
106.3,1000000,t3,0.00E+00,1.85E+08
106.4,1000000,t3,0.00E+00,1.22E+08
106.5,1000000,t3,0.00E+00,2.38E+08
106.6,1000000,t3,1.00E+04,2.65E+08
107.1,10000000,t3,1.20E+04,6.80E+07
107.2,10000000,t3,0.00E+00,1.21E+08
107.3,10000000,t3,2.00E+03,1.32E+08
107.4,10000000,t3,6.00E+03,7.40E+06
107.5,10000000,t3,4.00E+03,4.80E+07
107.6,10000000,t3,8.00E+03,2.74E+07
