ID,bottleneck,timepoint,pfu,cfu,raw,dilution,,,,,,,,,,,,
1,2,t0,4.60E+04,2.00E+06,10,200000,,,,,,,,,,,,
2,2,t0,4.60E+04,1.40E+06,7,200000,,,,,,,,,,,,
3,2,t0,5.00E+04,1.60E+06,8,200000,,,,,,,,,,,,
4,2,t0,3.40E+04,1.60E+06,8,200000,,,,,,,,,,,,
5,2,t0,3.20E+04,2.40E+06,12,200000,,,,,,,,,,,,
6,2,t0,4.60E+04,2.80E+06,14,200000,,,,,,,,,,,,
1,3,t0,3.20E+04,2.60E+06,13,200000,,,,,,,,,,,,
2,3,t0,4.00E+04,1.20E+06,6,200000,,,,,,,,,,,,
3,3,t0,4.00E+04,2.00E+06,10,200000,,,,,,,,,,,,
4,3,t0,4.00E+04,1.20E+06,6,200000,,,,,,,,,,,,
5,3,t0,5.00E+04,1.80E+06,9,200000,,,,,,,,,,,,
6,3,t0,4.40E+04,6.00E+05,3,200000,,,,,,,,,,,,
1,4,t0,4.00E+04,2.00E+06,10,200000,,,,,,,,,,,,
2,4,t0,5.20E+04,1.40E+06,7,200000,,,,,,,,,,,,
3,4,t0,4.80E+04,1.60E+06,8,200000,,,,,,,,,,,,
4,4,t0,4.00E+04,1.60E+06,8,200000,,,,,,,,,,,,
5,4,t0,4.20E+04,2.40E+06,12,200000,,,,,,,,,,,,
6,4,t0,5.60E+04,2.80E+06,14,200000,,,,,,,,,,,,
1,5,t0,5.20E+04,2.60E+06,13,200000,,,,,,,,,,,,
2,5,t0,5.60E+04,1.20E+06,6,200000,,,,,,,,,,,,
3,5,t0,5.20E+04,2.00E+06,10,200000,,,,,,,,,,,,
4,5,t0,4.60E+04,1.20E+06,6,200000,,,,,,,,,,,,
5,5,t0,4.60E+04,1.80E+06,9,200000,,,,,,,,,,,,
6,5,t0,5.00E+04,6.00E+05,3,200000,,,,,,,,,,,,
1,6,t0,3.20E+04,2.00E+06,10,200000,,,,,,,,,,,,
2,6,t0,5.20E+04,1.40E+06,7,200000,,,,,,,,,,,,
3,6,t0,4.20E+04,1.60E+06,8,200000,,,,,,,,,,,,
4,6,t0,4.20E+04,1.60E+06,8,200000,,,,,,,,,,,,
5,6,t0,4.60E+04,2.40E+06,12,200000,,,,,,,,,,,,
6,6,t0,4.60E+04,2.80E+06,14,200000,,,,,,,,,,,,
1,7,t0,5.20E+04,2.60E+06,13,200000,,,,,,,,,,,,
2,7,t0,4.20E+04,1.20E+06,6,200000,,,,,,,,,,,,
3,7,t0,5.20E+04,2.00E+06,10,200000,,,,,,,,,,,,
4,7,t0,4.20E+04,1.20E+06,6,200000,,,,,,,,,,,,
5,7,t0,3.40E+04,1.80E+06,9,200000,,,,,,,,,,,,
6,7,t0,3.00E+04,6.00E+05,3,200000,,,,,,,,,,,,
1,8,t0,1.00E+04,2.00E+06,10,200000,,,,,,,,,,,,
2,8,t0,1.00E+04,1.40E+06,7,200000,,,,,,,,,,,,
3,8,t0,1.00E+04,1.60E+06,8,200000,,,,,,,,,,,,
4,8,t0,1.00E+04,1.60E+06,8,200000,,,,,,,,,,,,
5,8,t0,1.00E+04,2.40E+06,12,200000,,,,,,,,,,,,
6,8,t0,1.00E+04,2.80E+06,14,200000,,,,,,,,,,,,
1,9,t0,1.00E+04,2.60E+06,13,200000,,,,,,,,,,,,
2,9,t0,1.00E+04,1.20E+06,6,200000,,,,,,,,,,,,
3,9,t0,1.00E+04,2.00E+06,10,200000,,,,,,,,,,,,
4,9,t0,1.00E+04,1.20E+06,6,200000,,,,,,,,,,,,
5,9,t0,1.00E+04,1.80E+06,9,200000,,,,,,,,,,,,
6,9,t0,1.00E+04,6.00E+05,3,200000,,,,,,,,,,,,
1,2,t1,2.40E+10,1.00E+06,5,200000,,,,,,,,,,,,
2,2,t1,1.80E+10,1.60E+06,8,200000,,,,,,,,,,,,
3,2,t1,5.00E+10,1.40E+06,7,200000,,,,,,,,,,,,
4,2,t1,2.80E+10,4.60E+05,23,20000,,,,,,,,,,,,
5,2,t1,3.40E+10,2.20E+06,11,200000,,,,,,,,,,,,
6,2,t1,2.40E+10,1.40E+06,7,200000,,,,,,,,,,,,
1,3,t1,5.40E+10,1.60E+06,8,200000,,,,,,,,,,,,
2,3,t1,1.80E+10,2.20E+06,11,200000,,,,,,,,,,,,
