bottleneck,timepoint,treatment,pfu,pfu.lower,pfu.upper,cfu,cfu.lower,cfu.upper
2,t0,exp,42333.33,6706.497,77960.17,1907486.382,427234.9015,8516402.482
3,t0,exp,41000,6495.257,75504.74,1416767.581,38243.30166,52485805.31
4,t0,exp,46333.33,7340.218,85326.45,1907486.382,51489.44546,70665054.85
5,t0,exp,50333.33,7973.939,92692.73,1416767.581,38243.30166,52485805.31
6,t0,exp,43333.33,6864.928,79801.74,1907486.382,51489.44546,70665054.85
7,t0,exp,42000,6653.687,77346.31,1416767.581,38243.30166,52485805.31
8,t0,exp,10000,1583.921,18416.08,1907486.382,51489.44546,70665054.85
9,t0,exp,10000,1583.921,18416.08,1416767.581,38243.30166,52485805.31
2,t1,exp,29666666667,4700095443,54633237891,1212252.734,271517.89,5412375.31
3,t1,exp,31000000000,4911335687,57088664313,1516537.16,40936.41671,56181885.55
4,t1,exp,4.64E+11,73511605130,8.54E+11,2467658.006,66610.35357,91417265.16
5,t1,exp,3.35E+11,53111078505,6.17E+11,677364.0404,18284.32389,25093739.87
6,t1,exp,19333333333,3062983547,35603683120,771889.0321,20835.86997,28595528.29
7,t1,exp,25333333333,4013564648,46653102019,164855.7041,4450.007542,6107271.582
8,t1,exp,24000000000,3802324403,44197675597,149264.7367,4029.15512,5529686.036
9,t1,exp,1.78E+11,28253382718,3.28E+11,120570.4578,3254.600437,4466673.05
2,t2,exp,12066667,1911724,22221609,237377980.9,53167435.05,1059827449
3,t2,exp,8700000,1378342,16021658,248804656,6716070.892,9217258289
4,t2,exp,15533333,2460948,28605718,84754320.54,2287802.947,3139822526
5,t2,exp,6800000,1077325,12522675,89020366.34,2402957.81,3297863162
6,t2,exp,5900000,934737.7,10865262,85368692.92,2304386.915,3162582667
7,t2,exp,5033333,797431.5,9269235,43795193.07,1182178.928,1622443940
8,t2,exp,22000000,3485464,40514536,42892.7472,1157.818891,1589011.782
9,t2,exp,46000000,7287788,84712212,703.2728034,18.98368817,26053.56018
2,t3,exp,11666.67,1847.972,21485.36,1353829301,303227920,6044475771
3,t3,exp,27666.67,4382.855,50950.48,1011467897,27302905.87,37471006414
