Bottleneck,Replicate,Spacer.Number,mean,lower,upper,pfu
monoculture,1,Multiple,0.263,0.103469556,0.482779028,2.20E+10
monoculture,2,Multiple,0,0,0,3.60E+04
monoculture,3,Multiple,0.375,0.169527297,0.617690466,3.40E+10
monoculture,4,Multiple,0,0,0,4.00E+03
monoculture,5,Multiple,0,0,0,8.00E+03
monoculture,6,Multiple,0.318,0.151239053,0.525241925,1.80E+10
5-clone,1,Multiple,1,1,1,0.00E+00
5-clone,2,Multiple,0,0,0,4.60E+09
5-clone,3,Multiple,0.042,0.002423869,0.170921017,1.20E+07
5-clone,4,Multiple,1,1,1,0.00E+00
5-clone,5,Multiple,0,0,0,5.80E+09
5-clone,6,Multiple,0.174,0.057525514,0.358972969,1.60E+09
50-clone,1,Multiple,0.667,0.468022533,0.831442712,0.00E+00
50-clone,2,Multiple,0.067,0.003926268,0.262056476,1.40E+04
50-clone,3,Multiple,0.368,0.178362296,0.591845658,2.00E+03
50-clone,4,Multiple,0.208,0.080244426,0.395520467,1.20E+06
50-clone,5,Multiple,0.864,0.683407231,0.964230883,3.60E+05
50-clone,6,Multiple,0.083,0.014354926,0.235677484,4.00E+03
monoculture,1,Single,0.737,0.517220972,0.896530444,2.20E+10
monoculture,2,Single,1,1,1,3.60E+04
monoculture,3,Single,0.625,0.382309534,0.830472703,3.40E+10
monoculture,4,Single,1,1,1,4.00E+03
monoculture,5,Single,1,1,1,8.00E+03
monoculture,6,Single,0.682,0.474758075,0.848760947,1.80E+10
5-clone,1,Single,0,0,0,0.00E+00
5-clone,2,Single,1,1,1,4.60E+09
5-clone,3,Single,0.958,0.829078983,0.997576131,1.20E+07
5-clone,4,Single,0,0,0,0.00E+00
5-clone,5,Single,1,1,1,5.80E+09
5-clone,6,Single,0.826,0.641027031,0.942474486,1.60E+09
50-clone,1,Single,0.333,0.168557288,0.531977467,0.00E+00
50-clone,2,Single,0.933,0.737943524,0.996073733,1.40E+04
50-clone,3,Single,0.632,0.408154342,0.821637704,2.00E+03
50-clone,4,Single,0.792,0.604479533,0.919755574,1.20E+06
50-clone,5,Single,0.136,0.035769117,0.316592769,3.60E+05
50-clone,6,Single,0.917,0.764322516,0.985645074,4.00E+03
