ID,Replicate,Bottleneck,Total spacers,Zero,One,Two ,Three ,Four,FiveOrMore,Single,Multiple
.1.1,1,Monoculture,2,0,0,1,0,0,0,0,1
.1.2,1,Monoculture,0,1,0,0,0,0,0,0,0
.1.3,1,Monoculture,0,1,0,0,0,0,0,0,0
.1.4,1,Monoculture,0,1,0,0,0,0,0,0,0
.1.5,1,Monoculture,1,0,1,0,0,0,0,1,0
.1.6,1,Monoculture,3,0,0,0,1,0,0,0,1
.1.7,1,Monoculture,1,0,1,0,0,0,0,1,0
.1.8,1,Monoculture,1,0,1,0,0,0,0,1,0
.1.9,1,Monoculture,1,0,1,0,0,0,0,1,0
.1.10,1,Monoculture,2,0,0,1,0,0,0,0,1
.1.11,1,Monoculture,1,0,1,0,0,0,0,1,0
.1.12,1,Monoculture,1,0,1,0,0,0,0,1,0
.1.13,1,Monoculture,1,0,1,0,0,0,0,1,0
.1.14,1,Monoculture,0,1,0,0,0,0,0,0,0
.1.15,1,Monoculture,2,0,0,1,0,0,0,0,1
.1.16,1,Monoculture,0,1,0,0,0,0,0,0,0
.1.17,1,Monoculture,1,0,1,0,0,0,0,1,0
.1.18,1,Monoculture,1,0,1,0,0,0,0,1,0
.1.19,1,Monoculture,1,0,1,0,0,0,0,1,0
.1.20,1,Monoculture,1,0,1,0,0,0,0,1,0
.1.21,1,Monoculture,1,0,1,0,0,0,0,1,0
.1.22,1,Monoculture,1,0,1,0,0,0,0,1,0
.1.23,1,Monoculture,2,0,0,1,0,0,0,0,1
.1.24,1,Monoculture,1,0,1,0,0,0,0,1,0
.2.1,2,Monoculture,1,0,1,0,0,0,0,1,0
.2.2,2,Monoculture,1,0,1,0,0,0,0,1,0
.2.3,2,Monoculture,1,0,1,0,0,0,0,1,0
.2.4,2,Monoculture,1,0,1,0,0,0,0,1,0
.2.5,2,Monoculture,1,0,1,0,0,0,0,1,0
.2.6,2,Monoculture,1,0,1,0,0,0,0,1,0
.2.7,2,Monoculture,1,0,1,0,0,0,0,1,0
.2.8,2,Monoculture,1,0,1,0,0,0,0,1,0
.2.9,2,Monoculture,1,0,1,0,0,0,0,1,0
.2.10,2,Monoculture,0,1,0,0,0,0,0,0,0
.2.11,2,Monoculture,1,0,1,0,0,0,0,1,0
.2.12,2,Monoculture,1,0,1,0,0,0,0,1,0
