bottleneck,timepoint,mean,lower,upper,lower2,upper2
monoculture,t0,4.000043427,2.099660324,5.900426531,4.000043427,4.000043427
monoculture,t1,10.02900958,8.128626477,11.92939268,9.856256881,10.20176228
monoculture,t2,9.16449514,7.264112037,11.06487824,9.020416253,9.308574027
monoculture,t3,7.198466915,5.298083812,9.098850018,4.401063985,9.995869845
monoculture,t4,2.509640112,0.609257008,4.410023215,0.289943019,4.729337204
monoculture,t5,1.235828894,0,3.136211997,0,3.658053527
5-clone,t0,4.000043427,2.099660324,5.900426531,4.000043427,4.000043427
5-clone,t1,10.04426208,8.143878974,11.94464518,9.851083604,10.23744055
5-clone,t2,8.271530749,6.371147645,10.17191385,7.442996751,9.100064746
5-clone,t3,5.951581182,4.051198078,7.851964285,2.181511516,9.721650848
5-clone,t4,3.443927807,1.543544704,5.344310911,0.043462718,6.844392896
5-clone,t5,3.09738856,1.197005457,4.997771663,0,7.187808865
50-clone,t0,4.000043427,2.099660324,5.900426531,4.000043427,4.000043427
50-clone,t1,10.16765586,8.267272755,12.06803896,10.0332385,10.30207321
50-clone,t2,8.501251925,6.600868822,10.40163503,8.144718391,8.85778546
50-clone,t3,3.780843335,1.880460232,5.681226438,2.060027824,5.501658846
50-clone,t4,9.49E-15,0,1.900383103,9.49E-15,9.49E-15
50-clone,t5,6.03E-16,0,1.900383103,6.03E-16,6.03E-16
