bottleneck,timepoint,mean,lower,upper
monoculture,t0,4.0000434273,3.1377511732,4.8623356813
monoculture,t1,10.0290095801,9.0781799966,10.9798391637
monoculture,t2,9.1644951399,8.2277817488,10.1012085309
monoculture,t3,7.1984669149,5.370076798,9.0268570317
monoculture,t4,2.5096401115,0.8344737784,4.1848064447
monoculture,t5,1.2358288941,0,2.9662563559
5-clone,t0,4.0000434273,3.1377511732,4.8623356813
5-clone,t1,10.044262077,9.0835033402,11.0050208138
5-clone,t2,8.2715307486,7.0413047686,9.5017567286
5-clone,t3,5.9515811818,3.8907918867,8.0123704768
5-clone,t4,3.4439278074,1.4682252372,5.4196303776
5-clone,t5,3.09738856,0.9655969173,5.2291802027
50-clone,t0,4.0000434273,3.1377511732,4.8623356813
50-clone,t1,10.1676558586,9.2357470283,11.0995646888
50-clone,t2,8.5012519251,7.4645004577,9.5380033925
50-clone,t3,3.7808433351,2.2502875951,5.3113990751
50-clone,t4,-1.85E-15,0,0.862292254
50-clone,t5,-1.74E-15,0,0.862292254
