ID,bottleneck,timepoint,pfu,cfu
M.1,monoculture,t0,1.00E+04,
M.2,monoculture,t0,1.00E+04,
M.3,monoculture,t0,1.00E+04,
M.4,monoculture,t0,1.00E+04,
M.5,monoculture,t0,1.00E+04,
M.6,monoculture,t0,1.00E+04,
5.1,5-clone,t0,1.00E+04,
5.2,5-clone,t0,1.00E+04,
5.3,5-clone,t0,1.00E+04,
5.4,5-clone,t0,1.00E+04,
5.5,5-clone,t0,1.00E+04,
5.6,5-clone,t0,1.00E+04,
100.1,50-clone,t0,1.00E+04,
100.2,50-clone,t0,1.00E+04,
100.3,50-clone,t0,1.00E+04,
100.4,50-clone,t0,1.00E+04,
100.5,50-clone,t0,1.00E+04,
100.6,50-clone,t0,1.00E+04,
M.1,monoculture,t1,5.40E+09,
M.2,monoculture,t1,1.20E+10,
M.3,monoculture,t1,1.20E+10,
M.4,monoculture,t1,2.40E+10,
M.5,monoculture,t1,8.00E+09,
M.6,monoculture,t1,1.00E+10,
5.1,5-clone,t1,2.40E+10,
5.2,5-clone,t1,8.00E+09,
5.3,5-clone,t1,8.00E+09,
5.4,5-clone,t1,6.00E+09,
5.5,5-clone,t1,1.00E+10,
5.6,5-clone,t1,2.00E+10,
100.1,50-clone,t1,2.20E+10,
100.2,50-clone,t1,1.00E+10,
100.3,50-clone,t1,1.00E+10,
100.4,50-clone,t1,2.40E+10,
100.5,50-clone,t1,1.60E+10,
100.6,50-clone,t1,1.20E+10,
M.1,monoculture,t2,,
M.2,monoculture,t2,,
M.3,monoculture,t2,,
M.4,monoculture,t2,,
M.5,monoculture,t2,,
M.6,monoculture,t2,,
5.1,5-clone,t2,,
5.2,5-clone,t2,,
5.3,5-clone,t2,,
5.4,5-clone,t2,,
5.5,5-clone,t2,,
5.6,5-clone,t2,,
100.1,50-clone,t2,,
100.2,50-clone,t2,,
100.3,50-clone,t2,,
100.4,50-clone,t2,,
100.5,50-clone,t2,,
100.6,50-clone,t2,,
M.1,monoculture,t3,,
M.2,monoculture,t3,,
M.3,monoculture,t3,,
M.4,monoculture,t3,,
M.5,monoculture,t3,,
M.6,monoculture,t3,,
5.1,5-clone,t3,,
5.2,5-clone,t3,,
5.3,5-clone,t3,,
5.4,5-clone,t3,,
5.5,5-clone,t3,,
5.6,5-clone,t3,,
100.1,50-clone,t3,,
100.2,50-clone,t3,,
100.3,50-clone,t3,,
100.4,50-clone,t3,,
100.5,50-clone,t3,,
100.6,50-clone,t3,,
M.1,monoculture,t4,,
M.2,monoculture,t4,,
M.3,monoculture,t4,,
M.4,monoculture,t4,,
M.5,monoculture,t4,,
M.6,monoculture,t4,,
