Clone,Bottleneck,Replicate,Phenotype
1,monoculture,1,CRISPR
2,monoculture,1,SM
3,monoculture,1,SM
4,monoculture,1,SM
5,monoculture,1,CRISPR
6,monoculture,1,CRISPR
7,monoculture,1,CRISPR
8,monoculture,1,CRISPR
9,monoculture,1,CRISPR
10,monoculture,1,CRISPR
11,monoculture,1,CRISPR
12,monoculture,1,CRISPR
13,monoculture,1,CRISPR
14,monoculture,1,SM
15,monoculture,1,CRISPR
16,monoculture,1,SM
17,monoculture,1,CRISPR
18,monoculture,1,CRISPR
19,monoculture,1,CRISPR
20,monoculture,1,CRISPR
21,monoculture,1,CRISPR
22,monoculture,1,CRISPR
23,monoculture,1,CRISPR
24,monoculture,1,CRISPR
1,monoculture,2,CRISPR
2,monoculture,2,CRISPR
3,monoculture,2,CRISPR
4,monoculture,2,CRISPR
5,monoculture,2,CRISPR
6,monoculture,2,CRISPR
7,monoculture,2,CRISPR
8,monoculture,2,CRISPR
9,monoculture,2,CRISPR
10,monoculture,2,Sensitive
11,monoculture,2,CRISPR
12,monoculture,2,CRISPR
13,monoculture,2,CRISPR
14,monoculture,2,CRISPR
15,monoculture,2,CRISPR
16,monoculture,2,CRISPR
17,monoculture,2,CRISPR
18,monoculture,2,CRISPR
19,monoculture,2,CRISPR
20,monoculture,2,CRISPR
21,monoculture,2,CRISPR
22,monoculture,2,CRISPR
23,monoculture,2,CRISPR
24,monoculture,2,CRISPR
1,monoculture,3,CRISPR
2,monoculture,3,CRISPR
3,monoculture,3,CRISPR
4,monoculture,3,CRISPR
5,monoculture,3,CRISPR
6,monoculture,3,CRISPR
7,monoculture,3,CRISPR
8,monoculture,3,Sensitive
9,monoculture,3,SM
10,monoculture,3,SM
11,monoculture,3,CRISPR
12,monoculture,3,CRISPR
13,monoculture,3,CRISPR
14,monoculture,3,Sensitive
15,monoculture,3,CRISPR
16,monoculture,3,SM
17,monoculture,3,CRISPR
18,monoculture,3,SM
19,monoculture,3,CRISPR
20,monoculture,3,SM
21,monoculture,3,CRISPR
22,monoculture,3,CRISPR
23,monoculture,3,CRISPR
24,monoculture,3,SM
1,monoculture,4,CRISPR
2,monoculture,4,CRISPR
3,monoculture,4,CRISPR
4,monoculture,4,CRISPR
5,monoculture,4,CRISPR
6,monoculture,4,CRISPR
7,monoculture,4,CRISPR
8,monoculture,4,CRISPR
9,monoculture,4,CRISPR
10,monoculture,4,CRISPR
11,monoculture,4,CRISPR
12,monoculture,4,CRISPR
13,monoculture,4,CRISPR
14,monoculture,4,CRISPR
15,monoculture,4,CRISPR
16,monoculture,4,CRISPR
17,monoculture,4,CRISPR
18,monoculture,4,CRISPR
19,monoculture,4,CRISPR
20,monoculture,4,CRISPR
21,monoculture,4,CRISPR
22,monoculture,4,CRISPR
23,monoculture,4,CRISPR
24,monoculture,4,CRISPR
1,monoculture,5,CRISPR
2,monoculture,5,CRISPR
3,monoculture,5,CRISPR
4,monoculture,5,CRISPR
5,monoculture,5,CRISPR
6,monoculture,5,CRISPR
7,monoculture,5,CRISPR
8,monoculture,5,CRISPR
9,monoculture,5,CRISPR
10,monoculture,5,CRISPR
11,monoculture,5,CRISPR
12,monoculture,5,CRISPR
13,monoculture,5,CRISPR
14,monoculture,5,CRISPR
15,monoculture,5,CRISPR
16,monoculture,5,CRISPR
17,monoculture,5,CRISPR
18,monoculture,5,CRISPR
19,monoculture,5,CRISPR
20,monoculture,5,CRISPR
21,monoculture,5,CRISPR
22,monoculture,5,CRISPR
23,monoculture,5,CRISPR
24,monoculture,5,CRISPR
1,monoculture,6,CRISPR
2,monoculture,6,CRISPR
3,monoculture,6,CRISPR
4,monoculture,6,CRISPR
5,monoculture,6,CRISPR
6,monoculture,6,CRISPR
7,monoculture,6,SM
8,monoculture,6,CRISPR
9,monoculture,6,SM
10,monoculture,6,CRISPR
11,monoculture,6,CRISPR
12,monoculture,6,CRISPR
13,monoculture,6,CRISPR
14,monoculture,6,CRISPR
15,monoculture,6,CRISPR
16,monoculture,6,CRISPR
17,monoculture,6,CRISPR
18,monoculture,6,CRISPR
19,monoculture,6,CRISPR
20,monoculture,6,CRISPR
21,monoculture,6,CRISPR
22,monoculture,6,CRISPR
23,monoculture,6,CRISPR
24,monoculture,6,CRISPR
1,5-clone,1,CRISPR
2,5-clone,1,CRISPR
3,5-clone,1,CRISPR
4,5-clone,1,CRISPR
5,5-clone,1,CRISPR
6,5-clone,1,CRISPR
7,5-clone,1,CRISPR
8,5-clone,1,CRISPR
9,5-clone,1,CRISPR
10,5-clone,1,CRISPR
11,5-clone,1,CRISPR
12,5-clone,1,CRISPR
13,5-clone,1,CRISPR
14,5-clone,1,CRISPR
15,5-clone,1,CRISPR
16,5-clone,1,CRISPR
17,5-clone,1,CRISPR
18,5-clone,1,CRISPR
19,5-clone,1,CRISPR
20,5-clone,1,CRISPR
21,5-clone,1,CRISPR
22,5-clone,1,CRISPR
23,5-clone,1,CRISPR
24,5-clone,1,CRISPR
1,5-clone,2,CRISPR
2,5-clone,2,CRISPR
3,5-clone,2,CRISPR
4,5-clone,2,CRISPR
5,5-clone,2,CRISPR
6,5-clone,2,Sensitive
7,5-clone,2,CRISPR
8,5-clone,2,CRISPR
9,5-clone,2,CRISPR
10,5-clone,2,Sensitive
11,5-clone,2,CRISPR
12,5-clone,2,Sensitive
13,5-clone,2,SM
14,5-clone,2,Sensitive
15,5-clone,2,SM
16,5-clone,2,Sensitive
17,5-clone,2,CRISPR
18,5-clone,2,CRISPR
19,5-clone,2,SM
20,5-clone,2,CRISPR
21,5-clone,2,SM
22,5-clone,2,CRISPR
23,5-clone,2,SM
24,5-clone,2,SM
1,5-clone,3,CRISPR
2,5-clone,3,CRISPR
3,5-clone,3,CRISPR
4,5-clone,3,CRISPR
5,5-clone,3,CRISPR
6,5-clone,3,CRISPR
7,5-clone,3,CRISPR
8,5-clone,3,CRISPR
9,5-clone,3,CRISPR
10,5-clone,3,CRISPR
11,5-clone,3,CRISPR
12,5-clone,3,CRISPR
13,5-clone,3,CRISPR
14,5-clone,3,CRISPR
15,5-clone,3,CRISPR
16,5-clone,3,CRISPR
17,5-clone,3,CRISPR
18,5-clone,3,CRISPR
19,5-clone,3,CRISPR
20,5-clone,3,CRISPR
21,5-clone,3,CRISPR
22,5-clone,3,CRISPR
23,5-clone,3,CRISPR
24,5-clone,3,CRISPR
1,5-clone,4,CRISPR
2,5-clone,4,CRISPR
3,5-clone,4,CRISPR
4,5-clone,4,CRISPR
5,5-clone,4,CRISPR
6,5-clone,4,CRISPR
7,5-clone,4,CRISPR
8,5-clone,4,CRISPR
9,5-clone,4,CRISPR
