ID,bottleneck,timepoint,pfu
M.1,monoculture,t0,10000
M.2,monoculture,t0,10000
M.3,monoculture,t0,10000
M.4,monoculture,t0,10000
M.5,monoculture,t0,10000
M.6,monoculture,t0,10000
5.1,5-clone,t0,10000
5.2,5-clone,t0,10000
5.3,5-clone,t0,10000
5.4,5-clone,t0,10000
5.5,5-clone,t0,10000
5.6,5-clone,t0,10000
100.1,50-clone,t0,10000
100.2,50-clone,t0,10000
100.3,50-clone,t0,10000
100.4,50-clone,t0,10000
100.5,50-clone,t0,10000
100.6,50-clone,t0,10000
M.1,monoculture,t1,5400000000
M.2,monoculture,t1,12000000000
M.3,monoculture,t1,12000000000
M.4,monoculture,t1,24000000000
M.5,monoculture,t1,8000000000
M.6,monoculture,t1,10000000000
5.1,5-clone,t1,24000000000
5.2,5-clone,t1,8000000000
5.3,5-clone,t1,8000000000
5.4,5-clone,t1,6000000000
5.5,5-clone,t1,10000000000
5.6,5-clone,t1,20000000000
100.1,50-clone,t1,22000000000
100.2,50-clone,t1,10000000000
100.3,50-clone,t1,10000000000
100.4,50-clone,t1,24000000000
100.5,50-clone,t1,16000000000
100.6,50-clone,t1,12000000000
M.1,monoculture,t2,1200000000
M.2,monoculture,t2,1800000000
M.3,monoculture,t2,1800000000
M.4,monoculture,t2,800000000
M.5,monoculture,t2,2600000000
M.6,monoculture,t2,1200000000
5.1,5-clone,t2,25000000
5.2,5-clone,t2,4200000000
5.3,5-clone,t2,3200000000
5.4,5-clone,t2,120000000
5.5,5-clone,t2,48000000
5.6,5-clone,t2,22000000
100.1,50-clone,t2,120000000
100.2,50-clone,t2,320000000
100.3,50-clone,t2,2000000000
100.4,50-clone,t2,180000000
100.5,50-clone,t2,160000000
100.6,50-clone,t2,460000000
M.1,monoculture,t3,22000000000
M.2,monoculture,t3,36000
M.3,monoculture,t3,34000000000
M.4,monoculture,t3,4000
M.5,monoculture,t3,8000
M.6,monoculture,t3,18000000000
5.1,5-clone,t3,0
5.2,5-clone,t3,4600000000
5.3,5-clone,t3,12000000
5.4,5-clone,t3,0
5.5,5-clone,t3,5800000000
5.6,5-clone,t3,1600000000
100.1,50-clone,t3,0
100.2,50-clone,t3,14000
100.3,50-clone,t3,2000
100.4,50-clone,t3,1200000
100.5,50-clone,t3,360000
100.6,50-clone,t3,4000
M.1,monoculture,t4,24000
M.2,monoculture,t4,0
M.3,monoculture,t4,140000
M.4,monoculture,t4,0
M.5,monoculture,t4,0
M.6,monoculture,t4,340000
5.1,5-clone,t4,0
5.2,5-clone,t4,8000
5.3,5-clone,t4,0
5.4,5-clone,t4,0
5.5,5-clone,t4,4800000
5.6,5-clone,t4,12000000000
100.1,50-clone,t4,0
100.2,50-clone,t4,0
100.3,50-clone,t4,0
100.4,50-clone,t4,0
100.5,50-clone,t4,0
100.6,50-clone,t4,0
M.1,monoculture,t5,0
M.2,monoculture,t5,0
M.3,monoculture,t5,26000000
M.4,monoculture,t5,0
M.5,monoculture,t5,0
M.6,monoculture,t5,0
5.1,5-clone,t5,0
5.2,5-clone,t5,0
5.3,5-clone,t5,0
5.4,5-clone,t5,3200000
5.5,5-clone,t5,0
5.6,5-clone,t5,1.2E+12
100.1,50-clone,t5,0
100.2,50-clone,t5,0
100.3,50-clone,t5,0
100.4,50-clone,t5,0
100.5,50-clone,t5,0
100.6,50-clone,t5,0
