ID,bottleneck,timepoint,pfu,cfu,raw.count,dilution
1,1-clone,t0,5.40E+04,4.00E+06,2,2000000
2,1-clone,t0,4.20E+04,1.20E+06,6,200000
3,1-clone,t0,5.20E+04,4.00E+06,20,200000
4,1-clone,t0,4.40E+04,8.00E+06,4,2000000
5,1-clone,t0,5.20E+04,3.00E+06,15,200000
6,1-clone,t0,2.80E+04,2.40E+06,12,200000
7,1-clone,t0,4.80E+04,1.00E+06,5,200000
8,1-clone,t0,3.20E+04,2.40E+06,12,200000
9,1-clone,t0,2.40E+04,1.80E+07,9,2000000
10,1-clone,t0,2.00E+04,5.00E+06,25,200000
11,1-clone,t0,4.60E+04,1.00E+07,5,2000000
12,1-clone,t0,4.60E+04,4.00E+06,20,200000
1,5-clone,t0,4.20E+04,4.00E+05,20,20000
2,5-clone,t0,4.40E+04,8.00E+05,4,200000
3,5-clone,t0,3.00E+04,1.80E+06,9,200000
4,5-clone,t0,4.80E+04,3.00E+06,15,200000
5,5-clone,t0,3.60E+04,2.00E+06,10,200000
6,5-clone,t0,3.40E+04,3.60E+05,18,20000
7,5-clone,t0,5.60E+04,1.20E+06,6,200000
8,5-clone,t0,3.80E+04,1.80E+06,9,200000
9,5-clone,t0,2.20E+04,2.40E+06,12,200000
10,5-clone,t0,3.80E+04,4.00E+06,20,200000
11,5-clone,t0,4.60E+04,1.00E+06,5,200000
12,5-clone,t0,3.80E+04,3.20E+06,16,200000
1,50-clone,t0,3.60E+04,2.00E+06,10,200000
2,50-clone,t0,3.20E+04,1.40E+05,7,20000
3,50-clone,t0,3.20E+04,3.40E+06,17,200000
4,50-clone,t0,3.20E+04,1.60E+06,8,200000
5,50-clone,t0,3.80E+04,1.20E+06,6,200000
6,50-clone,t0,4.40E+04,2.40E+05,12,20000
7,50-clone,t0,1.60E+04,2.00E+06,10,200000
8,50-clone,t0,3.20E+04,1.60E+06,8,200000
9,50-clone,t0,3.20E+04,2.40E+06,12,200000
10,50-clone,t0,4.20E+04,3.40E+06,17,200000
11,50-clone,t0,4.00E+04,2.40E+06,12,200000
12,50-clone,t0,4.60E+04,3.60E+06,18,200000
1,1-clone,t1,2.00E+10,3.27E+06,109,30000
2,1-clone,t1,1.60E+10,9.24E+06,308,30000
3,1-clone,t1,5.40E+10,6.42E+06,214,30000
4,1-clone,t1,5.80E+09,5.07E+06,169,30000
5,1-clone,t1,2.00E+10,2.76E+06,92,30000
6,1-clone,t1,2.60E+11,5.46E+06,182,30000
7,1-clone,t1,1.00E+10,4.59E+06,153,30000
8,1-clone,t1,1.80E+10,4.74E+06,158,30000
9,1-clone,t1,1.40E+10,1.71E+06,57,30000
10,1-clone,t1,4.80E+09,2.10E+06,70,30000
11,1-clone,t1,2.60E+10,9.78E+06,326,30000
12,1-clone,t1,1.40E+10,3.24E+06,108,30000
1,5-clone,t1,1.00E+12,9.84E+06,328,30000
2,5-clone,t1,7.00E+11,6.72E+06,224,30000
3,5-clone,t1,1.20E+10,1.13E+07,378,30000
4,5-clone,t1,8.00E+09,4.50E+06,150,30000
5,5-clone,t1,1.20E+10,6.96E+06,232,30000
6,5-clone,t1,8.00E+09,6.30E+06,210,30000
7,5-clone,t1,3.60E+11,2.19E+06,73,30000
8,5-clone,t1,2.00E+10,2.40E+06,80,30000
9,5-clone,t1,1.20E+10,4.38E+06,146,30000
10,5-clone,t1,8.00E+09,1.44E+06,48,30000
11,5-clone,t1,5.40E+11,2.64E+05,88,3000
12,5-clone,t1,4.60E+10,3.87E+05,129,3000
1,50-clone,t1,1.60E+10,1.40E+07,7,2000000
2,50-clone,t1,1.40E+10,2.20E+07,11,2000000
3,50-clone,t1,1.60E+10,1.60E+07,8,2000000
4,50-clone,t1,2.00E+10,2.00E+07,10,2000000
5,50-clone,t1,1.80E+10,3.00E+07,15,2000000
6,50-clone,t1,2.00E+10,2.00E+07,10,2000000
7,50-clone,t1,1.80E+10,2.00E+07,10,2000000
8,50-clone,t1,1.00E+10,1.00E+07,5,2000000
9,50-clone,t1,1.20E+10,2.40E+07,12,2000000
10,50-clone,t1,1.60E+10,2.00E+07,10,2000000
11,50-clone,t1,1.00E+10,2.00E+07,10,2000000
12,50-clone,t1,1.60E+10,8.00E+06,4,2000000
1,1-clone,t2,8.00E+04,3.20E+08,16,2.00E+07
2,1-clone,t2,3.00E+05,4.00E+08,20,2.00E+07
3,1-clone,t2,1.60E+08,2.20E+08,11,2.00E+07
4,1-clone,t2,3.00E+05,3.60E+08,18,2.00E+07
5,1-clone,t2,2.40E+06,6.00E+08,3,2.00E+08
6,1-clone,t2,2.60E+05,4.20E+08,21,2.00E+07
7,1-clone,t2,3.40E+09,3.60E+06,18,2.00E+05
8,1-clone,t2,3.60E+09,8.00E+06,4,2.00E+06
9,1-clone,t2,1.40E+08,8.00E+08,4,200000000
10,1-clone,t2,3.60E+06,1.20E+09,6,200000000
11,1-clone,t2,1.40E+07,3.60E+08,18,2.00E+07
12,1-clone,t2,1.00E+05,1.00E+09,5,200000000
1,5-clone,t2,3.00E+04,8.00E+08,4,200000000
2,5-clone,t2,1.40E+06,4.00E+08,20,2.00E+07
3,5-clone,t2,1.60E+06,4.00E+08,20,2.00E+07
4,5-clone,t2,1.60E+06,4.40E+08,22,2.00E+07
5,5-clone,t2,1.00E+06,4.80E+08,24,2.00E+07
6,5-clone,t2,3.80E+06,4.00E+08,20,2.00E+07
7,5-clone,t2,6.00E+05,4.20E+08,21,2.00E+07
8,5-clone,t2,4.60E+05,5.00E+08,25,2.00E+07
9,5-clone,t2,1.60E+06,2.60E+08,13,2.00E+07
10,5-clone,t2,5.20E+06,4.40E+08,22,2.00E+07
11,5-clone,t2,1.60E+05,2.00E+09,10,2.00E+08
12,5-clone,t2,1.60E+05,1.20E+09,6,2.00E+08
1,50-clone,t2,1.20E+05,3.40E+08,17,2.00E+07
2,50-clone,t2,3.20E+05,8.00E+08,4,2.00E+08
3,50-clone,t2,2.00E+06,3.40E+08,17,2.00E+07
4,50-clone,t2,1.80E+05,1.40E+09,7,2.00E+08
5,50-clone,t2,1.60E+05,8.00E+08,4,2.00E+08
6,50-clone,t2,4.60E+05,5.00E+08,25,2.00E+07
7,50-clone,t2,4.80E+05,3.00E+08,15,2.00E+07
8,50-clone,t2,1.20E+06,6.00E+08,3,2.00E+08
9,50-clone,t2,1.60E+05,2.80E+08,14,2.00E+07
10,50-clone,t2,4.40E+04,1.20E+09,6,2.00E+08
11,50-clone,t2,2.60E+05,1.00E+09,5,2.00E+08
12,50-clone,t2,1.80E+05,4.00E+08,20,2.00E+07
1,1-clone,t3,5.80E+09,9.68E+05,968,1.00E+03
2,1-clone,t3,0.00E+00,1.18E+09,118,1.00E+07
3,1-clone,t3,3.60E+09,5.68E+05,568,1.00E+03
4,1-clone,t3,0.00E+00,4.18E+09,418,1.00E+07
5,1-clone,t3,4.60E+10,2.50E+08,25,1.00E+07
6,1-clone,t3,0.00E+00,2.46E+09,246,1.00E+07
7,1-clone,t3,7.00E+08,1.14E+08,114,1.00E+06
8,1-clone,t3,1.00E+12,7.30E+07,73,1.00E+06
9,1-clone,t3,2.60E+10,6.88E+05,688,1.00E+03
10,1-clone,t3,3.40E+09,4.32E+08,432,1.00E+06
11,1-clone,t3,1.80E+10,1.54E+06,1544,1.00E+03
12,1-clone,t3,0.00E+00,6.76E+09,676,1.00E+07
1,5-clone,t3,3.00E+07,2.42E+09,242,1.00E+07
2,5-clone,t3,2.60E+09,1.10E+09,110,1.00E+07
3,5-clone,t3,5.20E+11,4.00E+08,400,1.00E+06
4,5-clone,t3,1.20E+12,3.50E+08,35,1.00E+07
5,5-clone,t3,4.00E+02,5.56E+09,556,1.00E+07
6,5-clone,t3,2.60E+10,5.60E+08,56,1.00E+07
7,5-clone,t3,2.60E+05,2.14E+09,214,1.00E+07
8,5-clone,t3,3.20E+06,4.80E+09,480,1.00E+07
9,5-clone,t3,1.00E+03,4.14E+09,414,1.00E+07
10,5-clone,t3,3.20E+09,2.76E+09,276,1.00E+07
11,5-clone,t3,5.20E+07,1.38E+10,1376,1.00E+07
12,5-clone,t3,3.80E+07,7.92E+09,792,1.00E+07
1,50-clone,t3,0.00E+00,1.04E+10,1035,1.00E+07
2,50-clone,t3,0.00E+00,1.25E+10,1245,1.00E+07
3,50-clone,t3,0.00E+00,1.44E+10,1440,1.00E+07
4,50-clone,t3,1.20E+03,8.95E+09,895,1.00E+07
5,50-clone,t3,3.60E+02,9.21E+09,921,1.00E+07
6,50-clone,t3,0.00E+00,1.33E+10,1326,1.00E+07
7,50-clone,t3,0.00E+00,1.04E+10,1040,1.00E+07
8,50-clone,t3,0.00E+00,1.47E+10,1472,1.00E+07
9,50-clone,t3,6.00E+02,9.00E+09,900,1.00E+07
10,50-clone,t3,0.00E+00,1.29E+10,1292,1.00E+07
11,50-clone,t3,2.00E+02,9.36E+09,936,1.00E+07
12,50-clone,t3,0.00E+00,1.04E+10,1036,1.00E+07
1,1-clone,t4,3.80E+08,1.00E+09,5,200000000
2,1-clone,t4,0.00E+00,1.80E+09,9,200000000
3,1-clone,t4,1.20E+09,2.60E+06,13,200000
4,1-clone,t4,0.00E+00,1.60E+09,8,200000000
5,1-clone,t4,4.00E+09,2.00E+07,10,2000000
6,1-clone,t4,0.00E+00,1.60E+09,8,200000000
7,1-clone,t4,2.20E+05,2.80E+09,14,200000000
8,1-clone,t4,3.00E+09,1.60E+07,8,2000000
9,1-clone,t4,1.80E+09,1.20E+07,6,2000000
10,1-clone,t4,4.80E+11,3.20E+09,16,200000000
11,1-clone,t4,6.00E+07,4.80E+08,24,20000000
12,1-clone,t4,0.00E+00,1.20E+09,6,200000000
1,5-clone,t4,2.00E+10,2.20E+09,11,200000000
2,5-clone,t4,3.40E+08,2.00E+09,10,200000000
3,5-clone,t4,1.40E+06,1.20E+09,6,200000000
4,5-clone,t4,1.40E+06,1.00E+09,5,200000000
5,5-clone,t4,0.00E+00,2.00E+09,10,200000000
6,5-clone,t4,6.00E+06,1.60E+09,8,200000000
7,5-clone,t4,4.60E+08,1.60E+09,8,200000000
8,5-clone,t4,2.00E+02,1.60E+09,8,200000000
9,5-clone,t4,2.40E+03,2.20E+09,11,200000000
10,5-clone,t4,4.00E+09,4.20E+08,21,20000000
11,5-clone,t4,3.90E+08,1.00E+09,5,200000000
12,5-clone,t4,2.20E+10,3.20E+09,16,200000000
1,50-clone,t4,0.00E+00,1.00E+09,5,200000000
2,50-clone,t4,0.00E+00,2.40E+09,12,200000000
3,50-clone,t4,0.00E+00,2.20E+09,11,200000000
4,50-clone,t4,0.00E+00,1.80E+09,9,200000000
5,50-clone,t4,0.00E+00,1.60E+09,8,200000000
6,50-clone,t4,0.00E+00,2.40E+09,12,200000000
7,50-clone,t4,0.00E+00,8.00E+08,4,200000000
8,50-clone,t4,0.00E+00,2.20E+09,11,200000000
9,50-clone,t4,0.00E+00,3.20E+09,16,200000000
10,50-clone,t4,0.00E+00,6.00E+08,3,200000000
11,50-clone,t4,0.00E+00,2.40E+09,12,200000000
12,50-clone,t4,0.00E+00,3.80E+09,19,200000000
1,1-clone,t5,2.20E+10,1.00E+04,5,2000
2,1-clone,t5,0.00E+00,4.20E+07,21,2000000
3,1-clone,t5,6.00E+10,1.20E+04,6,2000
4,1-clone,t5,0.00E+00,2.40E+08,12,20000000
5,1-clone,t5,4.60E+09,1.40E+07,7,2000000
6,1-clone,t5,0.00E+00,2.40E+07,12,2000000
7,1-clone,t5,5.20E+10,5.00E+03,25,200
8,1-clone,t5,1.40E+10,2.40E+04,12,2000
9,1-clone,t5,3.00E+10,3.00E+07,15,2000000
10,1-clone,t5,1.20E+10,3.20E+08,16,20000000
11,1-clone,t5,3.00E+10,4.11E+03,137,30
12,1-clone,t5,0.00E+00,4.40E+05,22,20000
1,5-clone,t5,3.00E+06,2.40E+07,12,2000000
2,5-clone,t5,4.00E+06,4.00E+08,20,20000000
3,5-clone,t5,4.40E+08,3.40E+08,17,20000000
