ID,Replicate,Bottleneck,Total spacers,Zero,One,Two ,Three ,Four,FiveOrMore,Single,Multiple,pfu
.1.1,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.2,1,1-clone,2,0,0,1,0,0,0,0,1,5.80E+09
.1.3,1,1-clone,1,0,1,0,0,0,0,1,0,5.80E+09
.1.4,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.5,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.6,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.7,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.8,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.9,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.10,1,1-clone,1,0,1,0,0,0,0,1,0,5.80E+09
.1.11,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.12,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.13,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.14,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.15,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.16,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.17,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.18,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.19,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.20,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.21,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.22,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.23,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.1.24,1,1-clone,0,1,0,0,0,0,0,0,0,5.80E+09
.2.1,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.2,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.3,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.4,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.5,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.6,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.7,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.8,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.9,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.10,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.11,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.12,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.13,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.14,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.15,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.16,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.17,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.18,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.19,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.20,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.21,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.22,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.23,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.2.24,2,1-clone,1,0,1,0,0,0,0,1,0,0.00E+00
.3.1,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
.3.2,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
.3.3,3,1-clone,1,0,1,0,0,0,0,1,0,3.60E+09
.3.4,3,1-clone,1,0,1,0,0,0,0,1,0,3.60E+09
.3.5,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
.3.6,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
.3.7,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
.3.8,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
.3.9,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
.3.10,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
.3.11,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
.3.12,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
.3.13,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
.3.14,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
.3.15,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
.3.16,3,1-clone,0,1,0,0,0,0,0,0,0,3.60E+09
