Bottleneck,Replicate,Spacer.Number,mean,lower,upper,pfu,
1-clone,1,Single,0.667,0.160767219,0.977292246,5.80E+09,
1-clone,1,Multiple,0.333,0.022707754,0.839232781,5.80E+09,
5-clone,1,Single,0.708,0.511702301,0.862656784,3.00E+07,
5-clone,1,Multiple,0.292,0.137343216,0.488297699,3.00E+07,
50-clone,1,Single,0.708,0.511702301,0.862656784,0.00E+00,
50-clone,1,Multiple,0.292,0.137343216,0.488297699,0.00E+00,
1-clone,2,Single,1,1,1,0.00E+00,
1-clone,2,Multiple,0,0,0,0.00E+00,
5-clone,2,Single,0.667,0.46802241,0.831442794,2.60E+09,
5-clone,2,Multiple,0.333,0.168557206,0.53197759,2.60E+09,
50-clone,2,Single,0.733,0.4846419,0.9084503,0.00E+00,
50-clone,2,Multiple,0.267,0.091549694,0.515358129,0.00E+00,
1-clone,3,Single,1,1,1,3.60E+09,
1-clone,3,Multiple,0,0,0,3.60E+09,
5-clone,3,Single,1,1,1,5.20E+11,
5-clone,3,Multiple,0,0,0,5.20E+11,
50-clone,3,Single,0.421,0.219698991,0.642441558,0.00E+00,
50-clone,3,Multiple,0.579,,,0.00E+00,
1-clone,4,Single,1,1,1,0.00E+00,
1-clone,4,Multiple,0,0,0,0.00E+00,
5-clone,4,Single,0.25,0.107822218,0.442898898,1.20E+12,
5-clone,4,Multiple,0.75,0.557101102,0.892177782,1.20E+12,
50-clone,4,Single,0.25,0.107822218,0.442898898,1200,
50-clone,4,Multiple,0.75,0.557101102,0.892177782,1200,
1-clone,5,Single,0,0,0,4.60E+10,
1-clone,5,Multiple,1,1,1,4.60E+10,
5-clone,5,Single,0.625,0.425876184,0.798703527,4.00E+02,
5-clone,5,Multiple,0.375,0.201296473,0.574123816,4.00E+02,
50-clone,5,Single,0.636,0.428449924,0.814165551,3.60E+02,
50-clone,5,Multiple,0.364,0.185834449,0.571550076,3.60E+02,
1-clone,6,Single,0,0,0,0.00E+00,
1-clone,6,Multiple,1,1,1,0.00E+00,
5-clone,6,Single,0.385,0.158854087,0.651971708,2.60E+10,
5-clone,6,Multiple,0.615,0.348028292,0.841145913,2.60E+10,
50-clone,6,Single,0.208,0.080244371,0.395520594,0.00E+00,
50-clone,6,Multiple,0.333,0.168557206,0.53197759,0.00E+00,
1-clone,7,Single,1,1,1,700000000,
1-clone,7,Multiple,0,0,0,700000000,
5-clone,7,Single,0.522,0.323507154,0.715366248,2.60E+05,
5-clone,7,Multiple,0.478,0.284633752,0.676492846,2.60E+05,
50-clone,7,Single,0.5,0.3,0.69,0.00E+00,
50-clone,7,Multiple,0.5,0.3,0.69,0.00E+00,
1-clone,8,Single,0.958,0.829078878,0.997576137,1.00E+12,
1-clone,8,Multiple,0.042,0.002423863,0.170921122,1.00E+12,
5-clone,8,Single,0.13,0.034130944,0.304313173,3.20E+06,
5-clone,8,Multiple,0.87,0.695686827,0.965869056,3.20E+06,
50-clone,8,Single,0.125,0.032636436,0.292942659,0.00E+00,
50-clone,8,Multiple,0.833,0.654242322,0.945026388,0.00E+00,
1-clone,9,Single,0.917,0.764322398,0.985645093,2.60E+10,
1-clone,9,Multiple,0.083,0.014354907,0.235677602,2.60E+10,
5-clone,9,Single,0.292,0.137343216,0.488297699,1.00E+03,
5-clone,9,Multiple,0.708,0.511702301,0.862656784,1.00E+03,
50-clone,9,Single,0.292,0.137343216,0.488297699,6.00E+02,
50-clone,9,Multiple,0.708,0.511702301,0.862656784,6.00E+02,
1-clone,10,Single,0,0,0,3.40E+09,
1-clone,10,Multiple,1,1,1,3.40E+09,
5-clone,10,Single,0.875,0.707057341,0.967363564,3.20E+09,
5-clone,10,Multiple,0.125,0.032636436,0.292942659,3.20E+09,
50-clone,10,Single,0.87,0.695686827,0.965869056,0.00E+00,
50-clone,10,Multiple,0.13,0.034130944,0.304313173,0.00E+00,
1-clone,11,Single,0.045,0.002649098,0.185253119,18000000000,
1-clone,11,Multiple,0.955,0.814746881,0.997350902,18000000000,
5-clone,11,Single,0.667,0.46802241,0.831442794,5.20E+07,
5-clone,11,Multiple,0.333,0.168557206,0.53197759,5.20E+07,
50-clone,11,Single,0.667,0.46802241,0.831442794,2.00E+02,
50-clone,11,Multiple,0.333,0.168557206,0.53197759,2.00E+02,
1-clone,12,Single,0,0,0,0.00E+00,
1-clone,12,Multiple,1,1,1,0.00E+00,
5-clone,12,Single,0.33,0.168557206,0.53197759,3.80E+07,
5-clone,12,Multiple,0.667,0.46802241,0.831442794,3.80E+07,
50-clone,12,Single,0.333,0.168557206,0.53197759,0.00E+00,
50-clone,12,Multiple,0.667,0.46802241,0.831442794,0.00E+00,
