ID,treatment,timepoint,pfu,cfu,raw,dilution,MOI
1,S,t0,2.60E+06,2.00E+06,20,1.00E+05,1.3
2,S,t0,3.60E+06,2.70E+06,27,1.00E+05,1.33
3,S,t0,4.00E+06,1.80E+06,18,1.00E+05,2.22
4,S,t0,2.40E+06,2.00E+06,20,1.00E+05,1.2
5,S,t0,3.20E+06,2.10E+06,21,1.00E+05,1.52
6,S,t0,5.20E+06,2.00E+06,20,1.00E+05,2.6
1,L,t0,2.40E+06,2.20E+06,22,1.00E+05,1.09
2,L,t0,3.80E+06,2.00E+06,20,1.00E+05,1.9
3,L,t0,4.00E+06,2.00E+06,20,1.00E+05,2
4,L,t0,1.60E+06,1.90E+06,19,1.00E+05,0.84
5,L,t0,1.80E+06,2.50E+06,25,1.00E+05,0.72
6,L,t0,2.00E+06,2.30E+06,23,1.00E+05,0.87
1,S,t1,4.40E+09,5.00E+06,5,1.00E+06,880
2,S,t1,4.00E+09,1.20E+07,12,1.00E+06,333.33
3,S,t1,5.80E+09,5.00E+06,5,1.00E+06,1160
4,S,t1,3.20E+10,1.90E+07,19,1.00E+06,1684.21
5,S,t1,8.00E+09,2.30E+07,23,1.00E+06,347.83
6,S,t1,8.80E+09,4.80E+07,48,1.00E+06,183.33
1,L,t1,6.80E+09,4.00E+06,4,1.00E+06,1700
2,L,t1,4.80E+09,4.00E+06,4,1.00E+06,1200
3,L,t1,2.40E+10,2.00E+06,2,1.00E+06,12000
4,L,t1,1.60E+10,1.40E+07,14,1.00E+06,1142.86
5,L,t1,6.40E+09,1.00E+07,10,1.00E+06,640
6,L,t1,2.40E+09,2.00E+07,20,1.00E+06,120
1,S,t2,4.00E+07,1.00E+08,1.00E+01,1.00E+07,0.4
2,S,t2,4.00E+05,8.00E+07,8.00E+00,1.00E+07,0.01
3,S,t2,6.00E+05,5.00E+07,5.00E+00,1.00E+07,0.01
4,S,t2,1.60E+06,3.00E+07,3.00E+00,1.00E+07,0.05
5,S,t2,6.00E+05,3.00E+07,3.00E+00,1.00E+07,0.02
6,S,t2,2.00E+07,5.00E+07,5.00E+00,1.00E+07,0.4
1,L,t2,4.00E+02,1.48E+03,1.48E+02,1.00E+01,0.27
2,L,t2,2.00E+02,5.70E+02,5.70E+01,1.00E+01,0.35
3,L,t2,4.00E+02,3.10E+03,3.10E+02,1.00E+01,0.13
4,L,t2,4.00E+02,7.00E+00,7.00E+00,1.00E+00,57.14
5,L,t2,2.00E+02,2.16E+03,2.16E+02,1.00E+01,0.09
6,L,t2,0.00E+00,2.10E+01,2.10E+01,1.00E+00,0
1,S,t3,8.00E+04,2.90E+08,2.90E+01,1.00E+07,0
2,S,t3,2.00E+03,3.60E+08,3.60E+01,1.00E+07,0
3,S,t3,1.40E+03,1.10E+08,1.10E+01,1.00E+07,0
4,S,t3,1.40E+03,1.10E+08,1.10E+01,1.00E+07,0
5,S,t3,0.00E+00,2.50E+08,2.50E+01,1.00E+07,0
6,S,t3,3.20E+05,3.10E+08,3.10E+01,1.00E+07,0
1,L,t3,0.00E+00,5.20E+02,5.20E+01,1.00E+01,0
2,L,t3,0.00E+00,9.84E+03,9.84E+02,1.00E+01,0
3,L,t3,0.00E+00,4.28E+03,4.28E+02,1.00E+01,0
4,L,t3,0.00E+00,0.00E+00,0.00E+00,1.00E+01,#DIV/0!
5,L,t3,0.00E+00,1.50E+02,1.50E+01,1.00E+01,0
6,L,t3,0.00E+00,1.00E+01,1.00E+00,1.00E+01,0
1,S,t4,3.80E+04,3.10E+08,3.10E+01,1.00E+07,
2,S,t4,0.00E+00,1.30E+08,1.30E+01,1.00E+07,
3,S,t4,0.00E+00,2.90E+08,2.90E+01,1.00E+07,
4,S,t4,0.00E+00,1.60E+08,1.60E+01,1.00E+07,
5,S,t4,0.00E+00,3.20E+08,3.20E+01,1.00E+07,
6,S,t4,3.60E+04,1.70E+08,1.70E+01,1.00E+07,
1,L,t4,0.00E+00,0.00E+00,0.00E+00,1.00E+00,
2,L,t4,0.00E+00,0.00E+00,0.00E+00,1.00E+00,
3,L,t4,0.00E+00,2.30E+01,2.30E+01,1.00E+00,
4,L,t4,0.00E+00,0.00E+00,0.00E+00,1.00E+00,
5,L,t4,0.00E+00,0.00E+00,0.00E+00,1.00E+00,
6,L,t4,0.00E+00,0.00E+00,0.00E+00,1.00E+00,
1,S,t5,1.60E+04,3.40E+08,1.70E+01,20000000,
2,S,t5,2.80E+04,3.20E+08,1.60E+01,20000000,
3,S,t5,1.80E+04,3.00E+08,1.50E+01,20000000,
4,S,t5,3.00E+05,2.20E+08,1.10E+01,20000000,
5,S,t5,2.80E+07,2.20E+08,1.10E+01,20000000,
6,S,t5,4.00E+04,3.20E+08,1.60E+01,20000000,
1,L,t5,0.00E+00,0.00E+00,0.00E+00,1,
2,L,t5,0.00E+00,0.00E+00,0.00E+00,1,
3,L,t5,0.00E+00,0.00E+00,0.00E+00,1,
4,L,t5,0.00E+00,0.00E+00,0.00E+00,1,
5,L,t5,0.00E+00,0.00E+00,0.00E+00,1,
6,L,t5,0.00E+00,0.00E+00,0.00E+00,1,
