Replicate,Clone,treatment,CRISPR,Sensitive,SM
1,1,S,0,1,0
1,2,S,0,1,0
1,3,S,0,0,1
1,4,S,0,0,1
1,5,S,0,1,0
1,6,S,0,1,0
1,7,S,0,1,0
1,8,S,0,1,0
1,9,S,0,0,1
1,10,S,0,1,0
1,11,S,1,0,0
1,12,S,0,0,1
1,13,S,0,0,1
1,14,S,1,0,0
1,15,S,1,0,0
1,16,S,0,0,1
1,17,S,1,0,0
1,18,S,0,1,0
1,19,S,0,0,1
1,20,S,0,0,1
1,21,S,1,0,0
1,22,S,0,1,0
1,23,S,1,0,0
1,24,S,1,0,0
2,1,S,0,1,0
2,2,S,0,1,0
2,3,S,0,1,0
2,4,S,0,1,0
2,5,S,0,1,0
2,6,S,0,1,0
2,7,S,0,1,0
2,8,S,0,1,0
2,9,S,0,1,0
2,10,S,0,1,0
2,11,S,0,1,0
2,12,S,1,0,0
2,13,S,0,1,0
2,14,S,0,1,0
2,15,S,0,1,0
2,16,S,0,1,0
2,17,S,0,1,0
2,18,S,1,0,0
2,19,S,0,1,0
2,20,S,0,1,0
2,21,S,0,1,0
2,22,S,0,1,0
2,23,S,1,0,0
2,24,S,0,1,0
3,1,S,1,0,0
3,2,S,1,0,0
3,3,S,1,0,0
3,4,S,1,0,0
3,5,S,1,0,0
3,6,S,0,1,0
3,7,S,1,0,0
3,8,S,1,0,0
3,9,S,1,0,0
3,10,S,1,0,0
3,11,S,1,0,0
3,12,S,1,0,0
3,13,S,1,0,0
3,14,S,1,0,0
3,15,S,0,1,0
3,16,S,1,0,0
3,17,S,1,0,0
3,18,S,0,1,0
3,19,S,1,0,0
3,20,S,1,0,0
3,21,S,1,0,0
3,22,S,1,0,0
3,23,S,1,0,0
3,24,S,0,1,0
4,1,S,NA,NA,NA
4,2,S,NA,NA,NA
4,3,S,NA,NA,NA
4,4,S,NA,NA,NA
4,5,S,NA,NA,NA
4,6,S,NA,NA,NA
4,7,S,NA,NA,NA
4,8,S,NA,NA,NA
4,9,S,NA,NA,NA
4,10,S,NA,NA,NA
4,11,S,NA,NA,NA
4,12,S,NA,NA,NA
4,13,S,NA,NA,NA
4,14,S,NA,NA,NA
4,15,S,NA,NA,NA
4,16,S,NA,NA,NA
4,17,S,NA,NA,NA
4,18,S,NA,NA,NA
4,19,S,NA,NA,NA
4,20,S,NA,NA,NA
4,21,S,NA,NA,NA
4,22,S,NA,NA,NA
4,23,S,NA,NA,NA
4,24,S,NA,NA,NA
5,1,S,1,0,0
5,2,S,0,0,1
5,3,S,1,0,0
5,4,S,0,0,1
5,5,S,1,0,0
5,6,S,1,0,0
5,7,S,0,0,1
5,8,S,0,1,0
5,9,S,0,0,1
5,10,S,1,0,0
5,11,S,1,0,0
5,12,S,1,0,0
5,13,S,1,0,0
5,14,S,0,1,0
5,15,S,0,1,0
5,16,S,0,1,0
5,17,S,1,0,0
5,18,S,NA,NA,NA
5,19,S,NA,NA,NA
5,20,S,NA,NA,NA
5,21,S,NA,NA,NA
5,22,S,NA,NA,NA
5,23,S,NA,NA,NA
5,24,S,NA,NA,NA
6,1,S,NA,NA,NA
6,2,S,NA,NA,NA
6,3,S,NA,NA,NA
6,4,S,NA,NA,NA
