bottleneck,variable,mean,lower,upper
2,CRISPR,0.00,0.00,0.00
3,CRISPR,0.00,0.00,0.00
4,CRISPR,0.00,0.00,0.00
5,CRISPR,0.00,0.00,0.00
6,CRISPR,0.00,0.00,0.00
7,CRISPR,0.00,0.00,0.00
8,CRISPR,0.00,0.00,0.00
9,CRISPR,NA,NA,NA
2,SM,0.89,0.76,0.96
3,SM,0.97,0.88,1.00
4,SM,0.75,0.59,0.87
5,SM,0.78,0.63,0.89
6,SM,0.97,0.88,1.00
7,SM,0.92,0.80,0.98
8,SM,0.42,0.17,0.69
9,SM,NA,NA,NA
2,Sensitive,0.11,0.04,0.24
3,Sensitive,0.03,0.00,0.12
4,Sensitive,0.25,0.13,0.41
5,Sensitive,0.22,0.11,0.37
6,Sensitive,0.03,0.00,0.12
7,Sensitive,0.08,0.02,0.20
8,Sensitive,0.58,0.31,0.83
9,Sensitive,NA,NA,NA
