bottleneck,timepoint,Measurement,Mean,Lower,Upper
100,t0,PFU,6.780,5.76,7.8
1000,t0,PFU,6.780,5.76,7.8
10000,t0,PFU,6.780,5.76,7.8
100000,t0,PFU,6.780,5.76,7.8
1000000,t0,PFU,6.780,5.76,7.8
10000000,t0,PFU,6.780,5.76,7.8
100,t1,PFU,10.09,9.07,11.11
1000,t1,PFU,10.00,8.99,11.03
10000,t1,PFU,10.63,9.60,11.65
100000,t1,PFU,10.95,9.93,11.97
1000000,t1,PFU,11.30,10.28,12.32
10000000,t1,PFU,10.33,9.31,11.35
100,t2,PFU,8.43,7.41,9.46
1000,t2,PFU,9.84,8.82,10.86
10000,t2,PFU,11.61,10.59,12.63
100000,t2,PFU,9.95,8.93,10.97
1000000,t2,PFU,6.89,5.87,7.91
10000000,t2,PFU,3.79,2.77,4.81
100,t3,PFU,6.20,5.18,7.22
1000,t3,PFU,6.48,5.46,7.50
10000,t3,PFU,8.13,7.11,9.15
100000,t3,PFU,9.21,8.19,10.23
1000000,t3,PFU,4.75,3.72,5.77
10000000,t3,PFU,0.00,0.00,1.02
100,t0,Wrinkly CFU,6.68,6.06,7.31
1000,t0,Wrinkly CFU,6.61,5.99,7.24
10000,t0,Wrinkly CFU,6.62,5.99,7.25
100000,t0,Wrinkly CFU,6.54,5.91,7.16
1000000,t0,Wrinkly CFU,6.55,5.92,7.17
10000000,t0,Wrinkly CFU,6.59,5.96,7.21
100,t1,Wrinkly CFU,7.88,7.25,8.51
1000,t1,Wrinkly CFU,7.67,7.04,8.29
10000,t1,Wrinkly CFU,7.8,7.17,8.43
100000,t1,Wrinkly CFU,8.25,7.62,8.87
1000000,t1,Wrinkly CFU,8.19,7.56,8.82
10000000,t1,Wrinkly CFU,8.12,7.49,8.74
100,t2,Wrinkly CFU,8.54,7.91,9.17
1000,t2,Wrinkly CFU,8.86,8.23,9.49
10000,t2,Wrinkly CFU,8.78,8.16,9.41
100000,t2,Wrinkly CFU,8.56,7.93,9.19
1000000,t2,Wrinkly CFU,8.24,7.61,8.87
10000000,t2,Wrinkly CFU,7.84,7.22,8.47
100,t3,Wrinkly CFU,8.55,7.91,9.17
1000,t3,Wrinkly CFU,8.92,8.29,9.55
10000,t3,Wrinkly CFU,9.3,8.67,9.93
100000,t3,Wrinkly CFU,8.72,8.09,9.35
1000000,t3,Wrinkly CFU,8.28,7.65,8.9
10000000,t3,Wrinkly CFU,7.4,6.77,8.03
100,t0,Smooth CFU,0.00,0.00,0.63
1000,t0,Smooth CFU,0.00,0.00,0.63
10000,t0,Smooth CFU,0.00,0.00,0.63
100000,t0,Smooth CFU,0.00,0.00,0.63
1000000,t0,Smooth CFU,0.00,0.00,0.63
10000000,t0,Smooth CFU,0.00,0.00,0.63
100,t1,Smooth CFU,0.00,0.00,0.63
1000,t1,Smooth CFU,0.00,0.00,0.63
10000,t1,Smooth CFU,0.00,0.00,0.63
100000,t1,Smooth CFU,0.00,0.00,0.63
1000000,t1,Smooth CFU,0.00,0.00,0.63
10000000,t1,Smooth CFU,0.00,0.00,0.63
100,t2,Smooth CFU,7.10,6.47,7.73
1000,t2,Smooth CFU,7.66,7.03,8.29
10000,t2,Smooth CFU,6.98,6.36,7.61
100000,t2,Smooth CFU,6.53,5.90,7.16
1000000,t2,Smooth CFU,3.08,2.45,3.71
10000000,t2,Smooth CFU,0.00,0.00,0.63
100,t3,Smooth CFU,8.08,7.46,8.71
1000,t3,Smooth CFU,8.05,7.42,8.67
10000,t3,Smooth CFU,7.80,7.17,8.43
100000,t3,Smooth CFU,7.47,6.84,8.10
1000000,t3,Smooth CFU,5.52,4.89,6.15
10000000,t3,Smooth CFU,1.10,0.47,1.72
