bottleneck,repeat,Sensitive,CRISPR,SM,Total,prop.Sensitive,prop.CRISPR,prop.SM
100,1,0,14,8,22,0,0.636363636,0.363636364
100,2,2,13,6,21,0.095238095,0.619047619,0.285714286
100,3,0,15,4,19,0,0.789473684,0.210526316
100,4,0,19,4,23,0,0.826086957,0.173913043
100,5,0,17,7,24,0,0.708333333,0.291666667
100,6,0,7,14,21,0,0.333333333,0.666666667
1000,1,1,17,2,20,0.05,0.85,0.1
1000,2,3,14,3,20,0.15,0.7,0.15
1000,3,1,16,6,23,0.043478261,0.695652174,0.260869565
1000,4,4,14,6,24,0.166666667,0.583333333,0.25
1000,5,5,18,1,24,0.208333333,0.75,0.041666667
1000,6,0,21,2,23,0,0.913043478,0.086956522
10000,1,1,21,2,24,0.041666667,0.875,0.083333333
10000,2,2,17,4,23,0.086956522,0.739130435,0.173913043
10000,3,7,15,2,24,0.291666667,0.625,0.083333333
10000,4,3,19,2,24,0.125,0.791666667,0.083333333
10000,5,3,20,1,24,0.125,0.833333333,0.041666667
10000,6,3,18,2,23,0.130434783,0.782608696,0.086956522
100000,1,4,8,10,22,0.181818182,0.363636364,0.454545455
100000,2,4,15,3,22,0.181818182,0.681818182,0.136363636
100000,3,1,18,5,24,0.041666667,0.75,0.208333333
100000,4,4,17,3,24,0.166666667,0.708333333,0.125
100000,5,14,7,3,24,0.583333333,0.291666667,0.125
100000,6,3,18,2,23,0.130434783,0.782608696,0.086956522
1000000,1,7,16,1,24,0.291666667,0.666666667,0.041666667
1000000,2,18,3,3,24,0.75,0.125,0.125
1000000,3,20,3,1,24,0.833333333,0.125,0.041666667
1000000,4,16,1,7,24,0.666666667,0.041666667,0.291666667
1000000,5,20,4,0,24,0.833333333,0.166666667,0
1000000,6,20,3,1,24,0.833333333,0.125,0.041666667
10000000,1,23,0,1,24,0.958333333,0,0.041666667
10000000,2,21,0,3,24,0.875,0,0.125
10000000,3,20,2,2,24,0.833333333,0.083333333,0.083333333
10000000,4,21,3,0,24,0.875,0.125,0
10000000,5,22,0,2,24,0.916666667,0,0.083333333
10000000,6,24,0,0,24,1,0,0
