bottleneck,timepoint,pfu,cfu,prop.Sensitive,prop.CRISPR,prop.SM,mean.CR1.spacers,var.CR1.spacers, mean.CR2.spacers,var.CR2.spacers,mean.total.spacers,var.total.spacers,
monoculture,t3,1.40E+04,9.12E+08,,,,0,0,1.316,0.222,1.316,0.222,
monoculture,t3,1.40E+04,2.77E+09,,,,0,0,1.000,0.182,1.000,0.182,
monoculture,t3,8.00E+03,8.00E+08,,,,1,0,1.250,0.383,2.250,0.383,
monoculture,t3,2.00E+04,7.84E+08,,,,0,0,1.000,0.000,1.000,0.000,
monoculture,t3,4.00E+03,2.90E+09,,,,0,0,1.000,0.087,1.000,0.087,
monoculture,t3,1.00E+04,1.34E+09,,,,0,0,1.318,0.281,1.318,0.281,
5-clone,t3,2.40E+04,1.96E+09,,,,0,0,2.000,0.341,2.000,0.341,
5-clone,t3,1.80E+04,6.88E+08,,,,1,0,1.000,0.273,2.000,0.273,
5-clone,t3,4.00E+04,3.57E+09,,,,0,0,1.042,0.341,1.042,0.341,
5-clone,t3,2.40E+04,2.94E+08,,,,0,0,2.125,0.389,2.125,0.389,
5-clone,t3,3.80E+04,8.88E+08,,,,0,0,1.040,0.167,1.040,0.167,
5-clone,t3,2.20E+04,8.52E+08,,,,1,0,1.267,0.500,2.267,0.500,
50-clone,t3,8.00E+03,4.06E+08,,,,1,0,1.708,0.254,2.708,0.254,
50-clone,t3,2.00E+03,4.52E+08,,,,1,0,1.067,0.250,2.067,0.250,
50-clone,t3,8.00E+03,2.82E+08,,,,0,0,1.211,0.275,1.211,0.275,
50-clone,t3,8.00E+03,2.73E+08,,,,0,0,1.208,0.911,1.208,0.911,
50-clone,t3,4.00E+03,4.00E+08,,,,1,0,3.045,3.671,4.045,3.671,
50-clone,t3,2.40E+04,5.46E+08,,,,1,0,1.083,0.262,2.083,0.262,
